array,site,lat,long
LU3,LU3_103,55.33152,-110.8249
LU3,LU3_106,55.36141,-111.09341
LU3,LU3_111,55.398630000000004,-111.1192
LU3,LU3_126,55.55315,-110.77241799999999
LU3,LU3_129,55.57962,-110.82374999999999
LU3,LU3_13,55.50208,-111.11472
LU3,LU3_131,55.332390000000004,-110.79513
LU3,LU3_137,55.42564,-111.19794
LU3,LU3_14,55.50061,-111.09364000000001
LU3,LU3_147,55.53844,-110.84415000000001
LU3,LU3_15,55.4944,-110.79516000000001
LU3,LU3_17,55.51204,-110.85302999999999
LU3,LU3_18,55.537310000000005,-111.11632999999999
LU3,LU3_19,55.52431000000001,-111.07001
LU3,LU3_20,55.526700000000005,-111.04119000000001
LU3,LU3_21,55.523540000000004,-110.91676000000001
LU3,LU3_25,55.54139,-110.90796000000002
LU3,LU3_27,55.5513,-110.96253
LU3,LU3_28,55.55154399999999,-110.88772999999999
LU3,LU3_32,55.40952,-111.20451000000001
LU3,LU3_36,55.44785999999999,-111.22414
LU3,LU3_38,55.44705999999999,-110.76387
LU3,LU3_39,55.46641,-111.23818
LU3,LU3_40,55.47251000000001,-111.16615
LU3,LU3_41,55.461859999999994,-111.16666000000001
LU3,LU3_44,55.501310000000004,-110.84864
LU3,LU3_45,55.517469999999996,-110.96503
LU3,LU3_46,55.5084,-110.89555
LU3,LU3_48,55.54892,-111.09771
LU3,LU3_50,55.551649999999995,-111.03035
LU3,LU3_51,55.55753,-110.82767
LU3,LU3_52,55.56306,-110.89193
LU3,LU3_49,55.55693,-111.07930999999999
LU13,LU13_18,57.179930000000006,-111.59020000000001
LU13,LU13_15,57.140370000000004,-111.59116000000002
LU13,LU13_3,57.12465,-111.49142000000002
LU13,LU13_34,57.12297000000001,-111.45408
LU13,LU13_57,57.20649,-111.05726000000001
LU13,LU13_16,57.16297000000001,-111.58554
LU13,LU13_21,57.19368,-111.58622000000001
LU13,LU13_37,57.11808,-111.37926
LU13,LU13_55,57.11781,-111.30484
LU13,LU13_47,57.1871,-111.09103
LU13,LU13_51,57.08858,-111.25424000000001
LU13,LU13_27,57.097150000000006,-111.24763000000002
LU13,LU13_5,57.1115,-111.21362000000002
LU13,LU13_26,57.08022,-111.27681
LU13,LU13_35,57.11565,-111.43315000000001
LU13,LU13_13,57.07174,-111.30006999999999
LU13,LU13_128,57.063210000000005,-111.3068
LU13,LU13_131,57.06533000000001,-111.32229999999998
LU13,LU13_12,57.057739999999995,-111.31858
LU13,LU13_33,57.0561,-111.33516999999999
LU13,LU13_32,57.04958,-111.34759000000001
LU13,LU13_30,57.04375,-111.36054
LU13,LU13_53,57.11683,-111.26450000000001
LU13,LU13_22,57.17485,-111.12086
LU13,LU13_19,57.163340000000005,-111.13
LU13,LU13_45,57.1554,-111.14605
LU13,LU13_8,57.14077,-111.17169
LU13,LU13_43,57.14806,-111.15834999999998
LU13,LU13_41,57.13169,-111.18623
LU13,LU13_59,57.12108,-111.25407
LU13,LU13_6,57.12073000000001,-111.21960000000001
LU13,LU13_14,57.123020000000004,-111.19257999999999
LU13,LU13_52,57.11729,-111.41942000000002
LU13,LU13_36,57.12073000000001,-111.38155
LU13,LU13_38,57.11777,-111.35448
LU13,LU13_20,57.1806,-111.10409
LU13,LU13_17,57.16414,-111.10896
LU13,LU13_56,57.152100000000004,-111.10345
LU13,LU13_49,57.193340000000006,-111.07793
LU13,LU13_70,57.19792,-111.05211
LU13,LU13_11,57.17275000000001,-111.04179
LU15,LU15_44,56.212650000000004,-112.87607999999999
LU15,LU15_11,56.212140000000005,-112.83254
LU15,LU15_19,56.2124,-112.85681
LU15,LU15_7,56.2118,-112.98846
LU15,LU15_34,56.1777,-112.99898
LU15,LU15_37,56.1802,-112.86945
LU15,LU15_18,56.21154,-112.93424000000002
LU15,LU15_43,56.21047,-112.89617
LU15,LU15_10,56.21595000000001,-112.91250000000001
LU15,LU15_58,56.22151000000001,-112.91390000000001
LU15,LU15_8,56.215085,-112.80639199999999
LU15,LU15_12,56.179370000000006,-112.82142
LU15,LU15_17,56.1792,-112.74088
LU15,LU15_1,56.13297000000001,-113.01591
LU15,LU15_26,56.13686,-113.00198
LU15,LU15_27,56.137679999999996,-112.9838
LU15,LU15_28,56.13708,-112.94679000000001
LU15,LU15_2,56.134530000000005,-112.92681
LU15,LU15_29,56.13785,-112.91135000000001
LU15,LU15_30,56.138250000000006,-112.88976
LU15,LU15_31,56.138200000000005,-112.87376999999998
LU15,LU15_32,56.1378,-112.85918
LU15,LU15_20,56.21454,-113.06107
LU15,LU15_21,56.217110000000005,-113.01251
LU15,LU15_23,56.20251000000001,-113.05704
LU15,LU15_41,56.19308,-113.05862
LU15,LU15_25,56.21123,-112.96203
LU15,LU15_9,56.21596,-112.97829
LU15,LU15_24,56.21198,-113.04411000000002
LU15,LU15_46,56.21193,-113.02529999999999
LU15,LU15_40,56.18027,-112.73063
LU15,LU15_16,56.17765,-112.76156000000002
LU15,LU15_4,56.17984,-112.92477
LU15,LU15_36,56.17767,-112.95157
LU15,LU15_3,56.17757,-113.04402000000002
LU15,LU15_15,56.1834,-113.06137
LU15,LU15_14,56.169160000000005,-113.07427
LU15,LU15_22,56.39487999999999,-112.88846999999998
LU15,LU15_61,56.385130000000004,-112.90440000000001
LU21,LU21_106,56.56523000000001,-112.03402000000001
LU21,LU21_10,56.59103,-111.99360000000001
LU21,LU21_16,56.625220000000006,-111.97281
LU21,LU21_107,56.56608,-111.93458000000001
LU21,LU21_41,56.66848,-111.90783
LU21,LU21_63,56.60868,-111.96631000000001
