"Site","BUFF_DIST","FEATURE_TYPIPELINE","FEATURE_TYHARVEST.AREA","FEATURE_TYMISC.OIL.GAS.FACILITY","FEATURE_TYTRANSMISSION.LINE","FEATURE_TYCONVENTIONAL.SEISMIC","FEATURE_TYLOW.IMPACT.SEISMIC","FEATURE_TYWELL.ABAND","FEATURE_TYWELL.GAS","FEATURE_TYWELL.OTHER","FEATURE_TYWELL.BITUMEN","FEATURE_TYCLEARING.UNKNOWN","FEATURE_TYOPEN.PIT.MINE","FEATURE_TYVEGETATED.EDGE.ROADS","FEATURE_TYROAD.PAVED.UNDIV.2L","FEATURE_TYROAD.GRAVEL.1L","FEATURE_TYROAD.UNIMPROVED","FEATURE_TYHARVEST.AREA.WHITE.ZONE","FEATURE_TYTRAIL","FEATURE_TYCROP","FEATURE_TYROUGH_PASTURE","FEATURE_TYTAME_PASTURE","FEATURE_TYRURAL.RESIDENCE","FEATURE_TYURBAN.RESIDENCE","FEATURE_TYGREENSPACE","FEATURE_TYRECREATION","FEATURE_TYRUNWAY","FEATURE_TYWELL.CASED","FEATURE_TYFACILITY.UNKNOWN","FEATURE_TYURBAN.INDUSTRIAL","FEATURE_TYCLEARING.WELLPAD.UNCONFIRMED","FEATURE_TYGRVL.SAND.PIT","FEATURE_TYVEGETATED.EDGE.RAILWAYS","FEATURE_TYROAD.UNCLASSIFIED","FEATURE_TYBORROWPIT.WET","FEATURE_TYBORROWPIT.DRY","FEATURE_TYBORROWPITS","FEATURE_TYRESIDENCE_CLEARING","FEATURE_TYCAMPGROUND","FEATURE_TYWELL_CLEARED_NOT_CONFIRMED","FEATURE_TYCAMP.INDUSTRIAL","FEATURE_TYOIL.GAS.PLANT","FEATURE_TYTRUCK.TRAIL","FEATURE_TYROAD.GRAVEL.2L","FEATURE_TYROAD.PAVED.UNDIV.1L","FEATURE_TYSUMP","FEATURE_TYDUGOUT","FEATURE_TYCOUNTRY.RESIDENCE","FEATURE_TYMILL","FEATURE_TYROAD.PAVED.2L","FEATURE_TYFACILITY.OTHER","FEATURE_TYSURROUNDING.VEG","FEATURE_TYRLWY.SGL.TRACK","FEATURE_TYWELL_CLEARED_NOT_DRILLED","FEATURE_TYWELL.UNKNOWN","FEATURE_TYCULTIVATION_ABANDONED","FEATURE_TYGOLFCOURSE","FEATURE_TYAIRP.RUNWAY","FEATURE_TYLAGOON","FEATURE_TYRESERVOIR","FEATURE_TYTRANSFER_STATION","FEATURE_TYLANDFILL","FEATURE_TYMINES.PITLAKE","FEATURE_TYRLWY.SPUR","FEATURE_TYROAD.PAVED.1L","FEATURE_TYCANAL","Gridcll","Lab"
"LU2-106",3000,0.021673053568906,0,0.000283434035974869,0.00783588130746578,0.00850041532032182,2.89656118091562e-07,0.00303622378814397,0.00124817049851672,0,0,0.000578902168910408,0,0.00876202227749816,0,0.00312659439596813,0.0019996041721885,0.029333296822274,0.00102663155829362,7.14247205636442e-05,0.0140237950831339,0.0776531751320276,0.00358148520493357,0,0,0,0,0,0.000139006197406004,0,0,0.000452271313063042,0.00520191080125679,0.000377146629514114,0,0,0,0,0,0,0,8.33551395151277e-05,0.00033590246804645,0,0.000598948246161468,0,0.000211817572850874,0.00350775751124592,0,0,0,0,0.00224527364710742,0,0,0.000410154209076918,0,0,0,0,0,0,0,0,0,0.00188103932048476,"LU2-106","ACME"
"LU2-110",3000,0,0.474818148021326,0,0,0.00482919527484585,0,0.000565606981270999,0,0,0,0.000573573263481858,0,0.00570103931509778,0,0.00222087439437126,0.00113009471229548,0,0.00176598919680258,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00164759303828781,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"LU2-110","ACME"
"LU2-119",3000,0.00686590603862214,0.270965570618519,0,0,0.00703621429739351,0,0.00429358659185224,0.000692991270316848,0.000594937171391667,0,0.000338769724851342,0,0.0146198942400118,0.00400518171955707,0.00161917245618802,0.00353891251295879,0,0.00186482599398842,0,0,0,0.000259613762092797,0,0,0,0,0,0,0,0,0,0.0014792344748059,0.000133252849784167,0,0,0.0023287580461254,0,0,0,0,0,0,0,0,0.000545639132272351,0,0.000623588824404241,0,0,0,0,0.000730409977402375,0,0,0,0,0,0,0,0,0,0,0,0,0,"LU2-119","ACME"
"LU2-123",3000,0.0191565341499678,0.0815008465464739,0.000185389581484698,0.0261058722424633,0.0103132161720948,0,0.00202024161329137,0,0,0,0.000176260545443426,0,0.0199501714124412,0.00269033057352587,0.00344754457569277,0.00108260625513728,0,0.00243431051922546,0,0,0,0.00125044751549328,0,0,0,0,0,0.00123614782570585,0,0.00039130119021743,0,0,7.64398542797074e-05,0,0.00051995531103431,0.00297205090554282,0,0,0,0,0,0,0.000774432123027174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"LU2-123","ACME"
"LU2-13",3000,0,0.200448680903326,0,0,0.0067230024825665,0,0.000282780492429203,0,0,0,0,0,0.00291799486740939,0,0.00218676595899252,0.000624628371219554,0,0.0022930529495521,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"LU2-13","ACME"
"LU2-137",3000,0.00230916041427096,0.0564205959010274,0,0,0.00761724767741207,0,0.00319593381150086,0,0,0,3.2837286714739e-05,0,0.00661143704042531,0,0.00226489063786738,0,0,0.00155839500310815,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00041503962521583,0.00142997732846367,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"LU2-137","ACME"
"LU2-143",3000,0,0.295140629615202,0,0,0.0057127457750544,0,0.000808526369742636,0,0,0,0.000864169569760752,0,0.00437180569628453,0,0.00209867699877526,0,0,0.00278948575819423,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000256123910606084,0,0,0,0,0,0,0.000862615320035819,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"LU2-143","ACME"
"LU2-15",3000,0,0.147900148459754,0,0,0.0078326076000644,0,0.000565564018746592,0,0,0,0,0,0.00249028170194392,0,0.00226959388065418,1.92699887155969e-05,0,0.00243054286247397,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.38683921400182e-05,0,0,0,0,0,0,0,0.00137093356552813,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"LU2-15","ACME"
"LU2-153",3000,0.00697628313935917,0.119063714613465,0,0,0.00439417318521634,0,0.00208745454070425,0.0010009744932816,0,0,0,0,0.00217130145421126,0,0,0.00261224246697115,0,0.0013435926650697,0,0,0,7.04206654826137e-05,0,0,0,0,0,0,0,0,0,0,0,0,0.000491322401937293,0,0,0,0,0,0,0.000299399282515931,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"LU2-153","ACME"
"LU2-155",3000,0.00275796598821032,0.232861628462962,0,0,0.00538334633588692,0,0.0014882875598776,0.000830437737449941,0,0,0,0,0.00256479023827691,0,0.00222619616440947,2.35022993436861e-05,0,0.00336970924825945,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000272002606743849,0,0,0,0,0,0,0.000184972556872833,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"LU2-155","ACME"
