"","array","site","buff_dist","red_squirrel","absent_red_squirrel","lc_grassland","lc_coniferous","lc_mixed","lc_broadleaf","lc_shrub"
"4383","LU1","LU1_72",750,0,14,0.062196208,0.708359314,0,0.192954011,0.036490467
"4384","LU1","LU1_72",1000,0,14,0.055038446,0.66550366,0,0.203969782,0.075488112
"4385","LU1","LU1_72",1250,0,14,0.042029927,0.712656522,0,0.180164697,0.065148854
"4386","LU1","LU1_72",1500,0,14,0.034805551,0.704786156,0,0.194562111,0.065704147
"4387","LU1","LU1_72",1750,0,14,0.037669683,0.672997101,0.003856212,0.204821472,0.075337502
"4388","LU1","LU1_72",2000,0,14,0.031387482,0.642429279,0.013314772,0.217388165,0.091360286
"4389","LU1","LU1_72",2250,0,14,0.033837233,0.634489092,0.012939509,0.216195494,0.09928335
"4390","LU1","LU1_72",2500,0,14,0.03770441,0.628712042,0.010481003,0.217871641,0.102594094
"4391","LU1","LU1_72",2750,0,14,0.041902324,0.6439874,0.00866198599999999,0.207613709,0.093258855
"4392","LU1","LU1_72",3000,0,14,0.039968406,0.658682441,0.009512359,0.194595878,0.090407186
"4393","LU1","LU1_72",3250,0,14,0.038474436,0.666048711,0.011648857,0.184500832,0.08915194
"4394","LU1","LU1_72",3500,0,14,0.035862229,0.667810994,0.012313037,0.18036615,0.090526036
"4395","LU1","LU1_72",3750,0,14,0.037129706,0.663090948,0.015366665,0.17402791,0.095703169
"4396","LU1","LU1_72",4000,0,14,0.042645507,0.655295396,0.018328576,0.168801849,0.092929569
"4397","LU1","LU1_72",4250,0,14,0.043594404,0.640126669,0.023911109,0.166432935,0.09110001
"4398","LU1","LU1_72",4500,0,14,0.04437427,0.620184974,0.026564074,0.165405349,0.095677324
"4399","LU1","LU1_72",4750,0,14,0.045641795,0.599358947,0.033080501,0.161622665,0.100137981
"4400","LU1","LU1_72",5000,0,14,0.045888038,0.584663236,0.040656337,0.157907522,0.100198567
"4401","LU1","LU1_73",250,9,56,0,0.869093634,0,0,0
"4402","LU1","LU1_73",500,9,56,0.072271614,0.800665756,0,0,0.06789655
"4403","LU1","LU1_73",750,9,56,0.038554331,0.761793873,0.00269589099999999,0,0.161975336
"4404","LU1","LU1_73",1000,9,56,0.021686811,0.705641725,0.034092094,0,0.214073102
"4405","LU1","LU1_73",1250,9,56,0.014952372,0.648656441,0.035808777,0.036228927,0.244636287
"4406","LU1","LU1_73",1500,9,56,0.028745408,0.589663803,0.027500387,0.082925648,0.242028958
"4407","LU1","LU1_73",1750,9,56,0.022455653,0.546443913,0.026413871,0.146800555,0.216592244
"4408","LU1","LU1_73",2000,9,56,0.01942022,0.495236016,0.024901225,0.201049806,0.203228113
