array,camera,site,date
WF,1,WF_1,2019-09-28
WF,1,WF_1,2019-09-29
WF,1,WF_1,2019-09-30
WF,1,WF_1,2019-10-01
WF,1,WF_1,2019-10-02
WF,1,WF_1,2019-10-03
WF,1,WF_1,2019-10-04
WF,1,WF_1,2019-10-05
WF,1,WF_1,2019-10-06
WF,1,WF_1,2019-10-07
WF,1,WF_1,2019-10-08
WF,1,WF_1,2019-10-09
WF,1,WF_1,2019-10-10
WF,1,WF_1,2019-10-11
WF,1,WF_1,2019-10-12
WF,1,WF_1,2019-10-13
WF,1,WF_1,2019-10-14
WF,1,WF_1,2019-10-15
WF,1,WF_1,2019-10-16
WF,1,WF_1,2019-10-17
WF,1,WF_1,2019-10-18
WF,1,WF_1,2019-10-19
WF,1,WF_1,2019-10-20
WF,1,WF_1,2019-10-21
WF,1,WF_1,2019-10-22
WF,1,WF_1,2019-10-23
WF,1,WF_1,2019-10-24
WF,1,WF_1,2019-10-25
WF,1,WF_1,2019-10-26
WF,1,WF_1,2019-10-27
WF,1,WF_1,2019-10-28
WF,1,WF_1,2019-10-29
WF,1,WF_1,2019-10-30
WF,1,WF_1,2019-10-31
WF,1,WF_1,2019-11-01
WF,1,WF_1,2019-11-02
WF,1,WF_1,2019-11-03
WF,1,WF_1,2019-11-04
WF,1,WF_1,2019-11-05
WF,1,WF_1,2019-11-06
WF,1,WF_1,2019-11-07
WF,1,WF_1,2019-11-08
WF,1,WF_1,2019-11-09
WF,1,WF_1,2019-11-10
WF,1,WF_1,2019-11-11
WF,1,WF_1,2019-11-12
WF,1,WF_1,2019-11-13
WF,1,WF_1,2019-11-14
WF,1,WF_1,2019-11-15
WF,1,WF_1,2019-11-16
WF,1,WF_1,2019-11-17
WF,1,WF_1,2019-11-18
WF,1,WF_1,2019-11-19
WF,1,WF_1,2019-11-20
WF,1,WF_1,2019-11-21
WF,1,WF_1,2019-11-22
WF,1,WF_1,2019-11-23
WF,1,WF_1,2019-11-24
WF,1,WF_1,2019-11-25
WF,1,WF_1,2019-11-26
