"","array","site","buff_dist","red_squirrel","absent_red_squirrel","harvest","seismic","linear","wells","roads","osm_industrial"
"8149","LU22","LU22_47",2250,9,41,0.202465937651953,0.00686915014956037,0,0.000527470928824095,0.00332104498852152,0.000954318703434246
"8150","LU22","LU22_47",2500,9,41,0.184767498899062,0.00816240098958978,0,0.000497936109788883,0.00296069228850006,0.000772998149781685
"8151","LU22","LU22_47",2750,9,41,0.175922169142228,0.00872743288893232,0,0.000761351596860388,0.00267567882901189,0.000638841446100604
"8152","LU22","LU22_47",3000,9,41,0.177175431554795,0.00939688405367301,0,0.000639746827917422,0.00243409462447822,0.000536804270681768
"8153","LU22","LU22_47",3250,9,41,0.183298489259933,0.00973638127078669,0,0.000545109723195916,0.00223425295440065,0.000457395354900447
"8154","LU22","LU22_47",3500,9,41,0.181466329836547,0.0101287387420668,0,0.000623468009328348,0.00206349879651343,0.000547836742787868
"8155","LU22","LU22_47",3750,9,41,0.179013252257067,0.0101862990062213,0,0.00101047667159016,0.00192772310876305,0.000700391827198833
"8156","LU22","LU22_47",4000,9,41,0.178133860449186,0.0103159962039982,0,0.00130865815734169,0.00180686975059818,0.000615578754373977
"8157","LU22","LU22_47",4250,9,41,0.18076621676507,0.0102556159398896,0,0.00115922660304317,0.00169805466956582,0.000545287754739584
"8158","LU22","LU22_47",4500,9,41,0.18226191981452,0.0102488284479622,0,0.00127180388302304,0.00160140075509052,0.000486383213332535
"8159","LU22","LU22_47",4750,9,41,0.180324103751784,0.0105488312990291,0,0.00121169288713387,0.00152276607757265,0.000501750097099466
"8160","LU22","LU22_47",5000,9,41,0.179779690827274,0.0105584726033317,0,0.001317565424091,0.00147744514568557,0.000520828798508992
"8161","LU22","LU22_48",250,5,46,0.280743691955594,0.0252770944647013,0.0106193238533931,0.0266287539318153,0.0245088688085043,0
"8162","LU22","LU22_48",500,5,46,0.0804349701799811,0.0333085552978698,0.0100239685936849,0.0397567526386615,0.0147126443401206,0.00577731068516739
"8163","LU22","LU22_48",750,5,46,0.0390041553009123,0.0308960110722057,0.0145928074395534,0.0275428724626246,0.0101417167617454,0.0246112453654673
"8164","LU22","LU22_48",1000,5,46,0.0357578448044678,0.0307438215486404,0.0195641674019436,0.0154928657602249,0.00932791355653661,0.0225374132709017
"8165","LU22","LU22_48",1250,5,46,0.042302974279411,0.0295685815164935,0.0193633774605055,0.0115335761667275,0.00780574940034916,0.0180495124123325
"8166","LU22","LU22_48",1500,5,46,0.0355936680402449,0.0284414006121781,0.0258859115766034,0.0112091732739273,0.00665972623116028,0.0145904073396755
"8167","LU22","LU22_48",1750,5,46,0.0301746980153867,0.0278681795468192,0.0242166748602938,0.0101917107958238,0.00659309668184327,0.0148853226890927
"8168","LU22","LU22_48",2000,5,46,0.0260238084375955,0.0267362528550238,0.0229150927598548,0.00896446647722611,0.00723300341920285,0.014122539848366
"8169","LU22","LU22_48",2250,5,46,0.0221848639585037,0.0249457209868836,0.0228842215478996,0.00708303524126506,0.00643441523285876,0.014427226180236
"8170","LU22","LU22_48",2500,5,46,0.0212049222885124,0.024430903344104,0.0208906179639632,0.00708103247396265,0.00590234063730275,0.012509306970422
"8171","LU22","LU22_48",2750,5,46,0.0196130544500096,0.0239008480174951,0.0194974543596465,0.0060056620535236,0.00523526125025987,0.0106525899306982
"8172","LU22","LU22_48",3000,5,46,0.0164804138086889,0.0232319353675913,0.0183185958360697,0.00560162912309896,0.00476878454182388,0.00931859426939709
"8173","LU22","LU22_48",3250,5,46,0.0140424827719003,0.0223996754848275,0.017163347142686,0.00531760970116073,0.0042353023593089,0.00817123190260125
"8174","LU22","LU22_48",3500,5,46,0.012108059124751,0.0221964835909103,0.0163354834438347,0.0047763369714748,0.00379701883355527,0.00706439872511268
"8175","LU22","LU22_48",3750,5,46,0.0105474648375608,0.0224984505678412,0.015457424373971,0.0042936828501198,0.0034320863948671,0.00630106784934586
"8176","LU22","LU22_48",4000,5,46,0.00927023276738745,0.0227129981005973,0.0146077268372019,0.00421499854928927,0.00312480017125883,0.0056012341139713
