array,site,months_active,black_bear,caribou,cougar,coyote,fisher,grey_wolf,lynx,moose,red_fox,red_squirrel,snowshoe_hare,white_tailed_deer,wolverine,absent_black_bear,absent_caribou,absent_cougar,absent_coyote,absent_fisher,absent_grey_wolf,absent_lynx,absent_moose,absent_red_fox,absent_white_tailed_deer,absent_wolverine,absent_snowshoe_hare,absent_red_squirrel
LU3,LU3_49,7,3,0,0,2,0,0,2,0,0,0,2,6,0,2,7,7,5,7,7,5,7,7,1,7,5,7
LU3,LU3_50,7,3,0,0,1,0,0,1,0,0,0,1,5,0,2,7,7,6,7,7,6,7,7,2,7,6,7
LU3,LU3_7,11,3,0,0,4,0,1,3,0,0,4,7,4,0,4,11,11,7,11,10,8,11,11,7,11,4,7
LU3,LU3_46,7,3,0,0,1,2,0,2,1,0,1,3,3,0,2,7,7,6,5,7,5,6,7,4,7,4,6
LU3,LU3_38,7,1,0,0,0,1,0,1,0,0,0,0,0,0,4,7,7,7,6,7,6,7,7,7,7,7,7
LU3,LU3_10,7,2,0,0,4,2,0,2,1,0,0,7,4,0,3,7,7,3,5,7,5,6,7,3,7,0,7
LU3,LU3_52,7,2,0,0,7,2,0,2,1,0,6,1,7,0,3,7,7,0,5,7,5,6,7,0,7,6,1
LU3,LU3_28,7,2,0,0,3,0,0,2,0,0,0,2,6,0,3,7,7,4,7,7,5,7,7,1,7,5,7
LU3,LU3_126,11,2,0,0,1,0,0,1,0,0,2,2,1,0,5,11,11,10,11,11,10,11,11,10,11,9,9
LU3,LU3_129,7,2,0,0,0,0,0,0,0,0,0,1,7,0,3,7,7,7,7,7,7,7,7,0,7,6,7
LU3,LU3_51,7,3,2,0,2,1,0,2,0,0,0,1,7,0,2,5,7,5,6,7,5,7,7,0,7,6,7
LU3,LU3_147,7,3,0,0,2,1,0,1,1,0,0,2,7,0,2,7,7,5,6,7,6,6,7,0,7,5,7
LU3,LU3_39,7,2,0,0,1,0,0,5,1,0,0,1,6,0,3,7,7,6,7,7,2,6,7,1,7,6,7
LU3,LU3_40,7,1,1,0,2,0,0,0,0,0,0,0,3,0,4,6,7,5,7,7,7,7,7,4,7,7,7
LU3,LU3_41,7,2,0,0,4,0,0,0,0,0,0,1,4,0,3,7,7,3,7,7,7,7,7,3,7,6,7
LU3,LU3_36,7,3,0,0,1,0,0,0,5,0,1,3,4,0,2,7,7,6,7,7,7,2,7,3,7,4,6
LU3,LU3_17,11,3,0,0,1,0,1,2,0,0,0,8,4,0,4,11,11,10,11,10,9,11,11,7,11,3,11
LU3,LU3_15,11,0,0,0,2,1,0,5,1,0,2,6,1,0,7,11,11,9,10,11,6,10,11,10,11,5,9
LU3,LU3_44,11,1,0,0,1,0,1,2,1,0,1,7,6,0,6,11,11,10,11,10,9,10,11,5,11,4,10
LU3,LU3_27,7,3,0,0,2,0,0,0,1,0,0,0,6,0,2,7,7,5,7,7,7,6,7,1,7,7,7
LU3,LU3_13,11,5,1,0,3,0,0,7,1,0,3,6,3,0,2,10,11,8,11,11,4,10,11,8,11,5,8
LU3,LU3_18,11,1,1,0,2,0,0,1,0,0,0,3,0,0,6,10,11,9,11,11,10,11,11,11,11,8,11
LU3,LU3_137,7,2,0,0,2,1,0,2,1,0,1,3,4,0,3,7,7,5,6,7,5,6,7,3,7,4,6
LU3,LU3_111,7,2,0,0,0,1,1,1,0,0,0,2,4,0,3,7,7,7,6,6,6,7,7,3,7,5,7
LU3,LU3_131,11,0,0,0,0,1,0,4,2,0,0,5,3,0,7,11,11,11,10,11,7,9,11,8,11,6,11
LU3,LU3_103,11,1,1,0,1,0,0,3,2,0,1,2,1,0,6,10,11,10,11,11,8,9,11,10,11,9,10
LU3,LU3_102,11,3,1,0,1,0,0,4,0,0,2,3,4,0,4,10,11,10,11,11,7,11,11,7,11,8,9
LU3,LU3_5,11,2,1,0,0,0,0,3,0,1,0,6,2,0,5,10,11,11,11,11,8,11,10,9,11,5,11
LU2,LU2_15,7,1,0,0,0,0,0,0,0,0,0,0,1,0,4,7,7,7,7,7,7,7,7,6,7,7,7
LU2,LU2_106,7,2,0,0,6,0,0,0,1,0,3,6,6,0,3,7,7,1,7,7,7,6,7,1,7,1,4
LU2,LU2_34,7,3,0,0,5,5,1,1,2,0,0,6,6,0,2,7,7,2,2,6,6,5,7,1,7,1,7
LU2,LU2_101,7,3,0,0,5,1,0,2,0,0,1,5,7,0,2,7,7,2,6,7,5,7,7,0,7,2,6
LU2,LU2_5,7,2,0,1,0,0,0,0,0,0,0,0,3,0,3,7,6,7,7,7,7,7,7,4,7,7,7
LU2,LU2_36,7,2,0,0,0,2,0,0,5,0,0,0,5,0,3,7,7,7,5,7,7,2,7,2,7,7,7
LU2,LU2_24,14,7,0,0,4,0,1,1,0,0,2,11,10,0,3,14,14,10,14,13,13,14,14,4,14,3,12
LU2,LU2_13,7,1,0,0,3,1,1,1,0,0,3,7,5,0,4,7,7,4,6,6,6,7,7,2,7,0,4
LU2,LU2_32,7,2,0,0,2,3,0,0,1,0,0,2,7,0,3,7,7,5,4,7,7,6,7,0,7,5,7
LU2,LU2_51,14,3,0,1,2,0,0,0,2,1,1,0,13,0,7,14,13,12,14,14,14,12,13,1,14,14,13
LU2,LU2_153,14,6,0,0,5,0,1,0,1,0,0,0,13,0,4,14,14,9,14,13,14,13,14,1,14,14,14
LU2,LU2_50,14,3,0,1,5,0,0,0,0,1,5,13,10,0,7,14,13,9,14,14,14,14,13,4,14,1,9
LU2,LU2_46,14,6,0,1,2,0,2,0,0,0,4,3,14,0,4,14,13,12,14,12,14,14,14,0,14,11,10
LU2,LU2_25,14,5,0,2,5,4,0,1,1,0,7,8,7,0,5,14,12,9,10,14,13,13,14,7,14,6,7
LU2,LU2_26,14,6,0,2,0,0,1,0,1,0,0,1,13,0,4,14,12,14,14,13,14,13,14,1,14,13,14
LU2,LU2_44,14,2,0,0,0,0,0,0,0,0,0,2,3,0,8,14,14,14,14,14,14,14,14,11,14,12,14
LU2,LU2_143,14,6,0,0,4,1,2,3,5,0,1,4,12,0,4,14,14,10,13,12,11,9,14,2,14,10,13
LU2,LU2_42,14,7,0,0,1,4,2,2,1,0,1,13,10,0,3,14,14,13,10,12,12,13,14,4,14,1,13
LU2,LU2_18,14,4,0,0,1,2,3,6,2,0,2,14,8,0,6,14,14,13,12,11,8,12,14,6,14,0,12
LU2,LU2_110,14,3,0,0,3,2,0,4,0,0,1,9,7,0,7,14,14,11,12,14,10,14,14,7,14,5,13
LU2,LU2_47,14,2,0,0,2,1,0,0,0,0,0,1,11,0,8,14,14,12,13,14,14,14,14,3,14,13,14
LU2,LU2_39,14,6,0,6,5,0,0,2,1,0,12,13,12,0,4,14,8,9,14,14,12,13,14,2,14,1,2
LU2,LU2_17,14,6,0,1,4,0,2,0,4,0,2,13,12,0,4,14,13,10,14,12,14,10,14,2,14,1,12
LU2,LU2_38,14,3,0,0,1,0,0,1,1,0,0,0,3,0,7,14,14,13,14,14,13,13,14,11,14,14,14
