model_name,scale,df,logLik,AICc,delta,delta_subsetted,weight_subsetted,intercept,fire_0_15,lc_broadleaf,lc_coniferous,lc_mixedwood,lc_shrubs,lc_wetland,lc_wetland_treed,pipe_trans,seismic,wells_inactive,harvest_0_15,osm_industrial,wells_active,nonanthro_ed,landscape_shei,landscape_mesh,cfi_site,cfi_site:nonanthro_ed
m_landcover_fire_4500,4500,11,-4701.919243771823,9425.892299202838,20.181763695027257,8.49284213129431,0.0109223918667295,-1.5596820441164334,0.44421748200243383,-0.29339342956706327,-0.1555842417920619,0.09349590736787634,-0.1679885895523428,-0.09603906605160188,-0.08247635801666962,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
m_forest_3750,3750,7,-4706.0226174930085,9426.068045576649,20.357510068837655,8.72032353324721,0.0096732437783725,-1.569762576435599,NA,-0.28722651335719984,-0.06374322703779725,0.1079615568275298,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
m_forest_4250,4250,7,-4706.030139907632,9426.083090405895,20.372554898083763,8.716385703382912,0.00971431666012254,-1.569915533613799,NA,-0.29413961416551676,-0.060936391080374415,0.10673313137623451,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
m_forest_5000,5000,7,-4706.045165446279,9426.113141483189,20.40260597537781,8.60367315147414,0.0103360189821683,-1.5700609272346204,NA,-0.3024365933003021,-0.05884246009731445,0.10786704655699572,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
m_landcover_3750,3750,10,-4703.036099889598,9426.117033689936,20.40649818212478,8.769311646534334,0.00943918502355462,-1.563589890738248,NA,-0.37329202269808776,-0.16131081005117268,0.08932129728154944,0.1500929244101564,-0.017177368382992154,-0.2142199011230301,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
m_forest_4500,4500,7,-4706.054985546699,9426.13278168403,20.422246176218323,8.733324612485376,0.00968495587807142,-1.5700233006476154,NA,-0.29531150312986837,-0.060065753695379163,0.10639198004123059,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
m_forest_4750,4750,7,-4706.05804641667,9426.138903423971,20.428367916159914,8.681906690477263,0.0099635942267091,-1.5701843474144477,NA,-0.2987627944730018,-0.056850222941441854,0.1062836637565138,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
m_forest_4000,4000,7,-4706.06095177097,9426.144714132572,20.434178624760534,8.780675780328238,0.0094455772629133,-1.569705189488038,NA,-0.2878662600915207,-0.06311097207506763,0.10582103698258129,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
m_landcover_4250,4250,10,-4703.13343115689,9426.31169622452,20.601160716709273,8.944991522008422,0.00866505120368335,-1.5629680209853971,NA,-0.35600155712192677,-0.1421952197884832,0.09830261587035678,0.16795694582444676,-0.01531135208624876,-0.18032489586208428,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
m_landcover_4000,4000,10,-4703.139338098771,9426.323510108283,20.612974600471716,8.95947175603942,0.0086378061227154,-1.5631876745150495,NA,-0.36026461164020346,-0.15124983148558088,0.09281444227446191,0.16048089813361396,-0.017667372330720035,-0.19362742853621936,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
m_landcover_4500,4500,10,-4703.21573286124,9426.476299633221,20.765764125409987,9.07684256167704,0.00815649682843699,-1.5627653673174544,NA,-0.34834208805472117,-0.1371019583631757,0.10122564932029698,0.17434688182871483,-0.0158533961502777,-0.16676690383131434,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
m_landcover_4750,4750,10,-4703.317058064593,9426.678950039926,20.968414532115276,9.221953306432624,0.00760582624406845,-1.5630771804936583,NA,-0.3524984504872891,-0.13521951663597018,0.09956598044946745,0.17101549932697777,-0.019720256964364483,-0.1647295620581148,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
m_landcover_5000,5000,10,-4703.415309577459,9426.875453065659,21.16491755784773,9.36598473394406,0.00706023962617484,-1.5629978669811793,NA,-0.35169840691940235,-0.13418481272835658,0.10201614543060608,0.17045084886605655,-0.0196081550739794,-0.1570671227185496,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
m_core_100,100,8,-4694.840600815629,9405.710535507811,0,0,0.54654825227456,-1.56988631689812,0.23832581545856926,-0.4704491230049707,-0.015128002093869539,0.17173150383573021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
m_core_250,250,8,-4695.226481646857,9406.482297170267,0.7717616624559014,0,0.451821767676086,-1.5718812375148887,0.2449906100441674,-0.4766077231727131,-0.019152845733373877,0.19496225995832,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
m_harvest_100,100,9,-4694.65340182845,9407.343478473525,1.632942965714392,1.632942965714392,0.241568025891053,-1.5686626798354628,0.2274765735299918,-0.4636540208967384,-0.004643486516965285,0.1720848871436229,NA,NA,NA,NA,NA,NA,0.05955493097695271,NA,NA,NA,NA,NA,NA,NA
m_harvest_250,250,9,-4695.005944320422,9408.048563457469,2.3380279496577714,1.56626628720187,0.206469900020956,-1.5707748915246023,0.22924742201060075,-0.47168071314242904,-0.010605053949274204,0.19418451999833147,NA,NA,NA,NA,NA,NA,0.06510120577771746,NA,NA,NA,NA,NA,NA,NA
m_core_50,50,8,-4696.135408013524,9408.300149903602,2.5896143957907043,0,0.553175608899636,-1.5708069169965813,0.230670734582139,-0.41666004164781206,0.02620906228510045,0.16726285737351962,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
m_seis_wells_250,250,11,-4693.3862146968695,9408.826241052931,3.1157055451203632,2.343943882664462,0.139954286100654,-1.575651620997453,0.19298587937934997,-0.4644610707448811,0.0010807855229478477,0.180628413880787,NA,NA,NA,0.039420556494106106,-0.1017264024171281,-0.13188402397999224,NA,NA,NA,NA,NA,NA,NA,NA
m_active_100,100,10,-4694.657413297777,9409.359660506294,3.6491249984828755,3.6491249984828755,0.0881517796702259,-1.5693885632637385,0.237686688655668,-0.47495757263477223,-0.01941538879078145,0.17064263479647254,NA,NA,NA,NA,NA,NA,NA,0.035245499108799754,-0.04316617510667852,NA,NA,NA,NA,NA
m_harvest_50,50,9,-4695.885778184994,9409.808231186613,4.097695678801756,1.5080812830110517,0.260247959359587,-1.5691817926243985,0.21687723964297295,-0.40829529011751803,0.03852171076137793,0.16957450323246065,NA,NA,NA,NA,NA,NA,0.0683245737169935,NA,NA,NA,NA,NA,NA,NA
