"","site","buff_dist","array","red_squirrel","absent_red_squirrel","harvest","seismic","roads","linear","wells","lc_grassland","lc_coniferous","lc_broadleaf","lc_mixed","lc_shrub","osm_industrial","natural_cohesion","anthropogenic_cohesion","natural_ed","anthropogenic_ed","natural_tca","anthropogenic_tca"
"1290","LU2_52",2500,"LU2",14,47,0.403401494946717,0.00299618772217885,0.0028004686707142,0.00404674843996185,0.00274674225453186,0.0461227933405618,0.136880821841312,0.291280213909974,0.443055600759868,0.060925430188214,0.000622985975948143,99.4752700748198,99.9065481853743,112.166517548497,112.166517548497,805.05,580.0775
"1291","LU2_52",2750,"LU2",14,47,0.410176661712754,0.00344873487094036,0.00252875484551155,0.00376520897228943,0.00227003492110089,0.0419960275943243,0.151022231428827,0.292845322595856,0.436019973066435,0.0582510284200618,0.000514864442932389,99.4919494102942,99.9172066476326,109.180416735828,109.180416735828,968.185,730.0825
"1292","LU2_52",3000,"LU2",14,47,0.395284472935216,0.00359545410364896,0.00230301474159361,0.00426220414409168,0.00219399185006926,0.0464079165076684,0.163203168856642,0.30080676697376,0.414823350354454,0.0554502508325176,0.000432629149964014,99.4786268340497,99.9237960728611,105.441507175027,105.252562887987,1205.085,846.055
"1293","LU2_52",3250,"LU2",14,47,0.372957829246074,0.00387739331850243,0.00219516856140752,0.00436626557837753,0.00186943684266263,0.0503877718398617,0.172972675541065,0.313000730193578,0.393644231184774,0.0519114844396576,0.000580267315306171,99.4805095821826,99.9236334380052,101.595260794026,101.306321524696,1504.9525,937.8825
"1294","LU2_52",3500,"LU2",14,47,0.355437626767467,0.00411950053244255,0.00210729167672597,0.00451949755276545,0.00185896302511427,0.0511331027907486,0.182208517886052,0.323851677134848,0.378650573203214,0.0476905645696158,0.00052513078904089,99.4701097636012,99.9268820968129,99.7407754674315,99.4916084574032,1823.9225,1034.715
"1295","LU2_52",3750,"LU2",14,47,0.339158312051999,0.00427758759194908,0.00201931492324752,0.00440732097575225,0.00182815187657748,0.0488215517600138,0.18723526197587,0.340278984621202,0.364206042151032,0.0442031522314298,0.000457447265120055,99.4852893671858,99.927469264906,96.0541244267115,95.7884317404397,2185.5075,1140.84
"1296","LU2_52",4000,"LU2",14,47,0.327029636511926,0.00434081209317502,0.00203760361797434,0.00417787976974423,0.00178756534002422,0.0464740170400453,0.187038517547865,0.351060088316031,0.357538183212039,0.0410109042732971,0.00040205326035943,99.500198488958,99.9262773757842,94.8746425368147,94.5198502319318,2544.7425,1255.74
"1297","LU2_52",4250,"LU2",14,47,0.314981954011126,0.00440194977306041,0.00213037808392618,0.00398790665712649,0.00196730992825503,0.0461122886780909,0.186454017972488,0.365242573641515,0.34595486416748,0.0365131734887494,0.000356144064539835,99.516016609276,99.9294295291737,92.4663835841487,91.7928667079287,2943.395,1376.84
"1298","LU2_52",4500,"LU2",14,47,0.303752399990951,0.00453646634948444,0.00205586461371545,0.00409161910339605,0.00218590722247968,0.048232132330474,0.181923273730509,0.371411168931411,0.340914102136964,0.0336084977827464,0.000317671711888936,99.5280259873908,99.9301800548764,90.7608670041736,90.0100372430411,3353.0225,1498.9875
"1299","LU2_52",4750,"LU2",14,47,0.28759430347829,0.00459968010732434,0.00196385989910326,0.00419560681257564,0.00245824147171716,0.0495892932334511,0.178927785791258,0.382735127269276,0.329853453409593,0.0303930855687092,0.000285112561362925,99.5525029047608,99.9295958150745,88.8750406664253,88.1094720784236,3828.4825,1578.955
"1300","LU2_52",5000,"LU2",14,47,0.269527790034436,0.00476269018297021,0.0018795942230596,0.00413152751409821,0.00221856292822475,0.0489098141567335,0.177267714951491,0.393064375709533,0.316501794217984,0.0275644193600546,0.000257314086630041,99.5839715937927,99.9277495107465,87.1643002776932,85.9624158195735,4341.185,1638.1625
"1301","LU2_54",250,"LU2",1,60,0.444851966416,0.000938014947632488,0,0,0,0,0.235675483823494,0.00121290643378868,0.58529996992341,0,0,98.584694240493,99.6281536224608,84.4333748443338,84.4333748443338,5.7175,7.5375
"1302","LU2_54",500,"LU2",1,60,0.427860302695388,0.00223474787267455,0,0,3.83982206165412e-06,0,0.169752820802139,0.112846470763615,0.579008863984302,0,0,99.0401323003886,99.6538408326094,81.7829823401643,81.7829823401643,26.8025,31.2475
"1303","LU2_54",750,"LU2",1,60,0.378335630027576,0.00239529261436441,0.00373567631683429,0,0.00362900929611282,0,0.0897139272273979,0.211787387082566,0.604751032048153,0,0,99.263122377509,99.6484524374095,92.9977810858635,92.9977810858635,71.2825,55.935
"1304","LU2_54",1000,"LU2",1,60,0.404094524948345,0.00173982646653539,0.00557094169305083,0,0.0020413177290636,0,0.0758546972423614,0.250624828536944,0.572594987403313,0.00782834502349363,0,99.4422798550052,99.7254654067293,98.8357828588614,98.8357828588614,120.25,103.91
"1305","LU2_54",1250,"LU2",1,60,0.401416214321696,0.00214227625344109,0.00490010274154859,0.00141478195099794,0.00130644334660067,0.00290342068212671,0.0856639728543354,0.249445481399637,0.572990697080715,0.0185402365506703,0,99.524976075853,99.7315594310805,99.9193707878843,99.9193707878843,196.365,156.44
"1306","LU2_54",1500,"LU2",1,60,0.39355302706998,0.00196288611408026,0.00435888916426584,0.00307264139875296,0.00126140934645795,0.0145804813126363,0.103417012725044,0.227648516301713,0.567440162012492,0.0292205523862904,0.000647887291472306,99.5263411764366,99.8002685785687,104.926283734488,104.926283734488,286.6925,216.2375
"1307","LU2_54",1750,"LU2",1,60,0.388692268818603,0.00261099640805692,0.00379943810654145,0.00516765581302848,0.00330706326055898,0.0304544324422634,0.14279940005373,0.216316441867784,0.523652494859703,0.0392643326715648,0.00127139995091472,99.5315402533772,99.8604626175629,108.411883281427,108.411883281427,392.9175,286.77
"1308","LU2_54",2000,"LU2",1,60,0.392524004707163,0.00235827578960411,0.00336361766057657,0.00625521802789721,0.00268454607515493,0.0492770475713793,0.183754763059436,0.22534121259591,0.461981673704992,0.0397828594399113,0.000973415587419113,99.5316443854509,99.8755273605003,103.869350623061,103.869350623061,520.62,381.3125
"1309","LU2_54",2250,"LU2",1,60,0.387004102129694,0.00235781292496964,0.00315408555514057,0.00679615459541275,0.00263039926189901,0.0639053082177735,0.184742711705374,0.250990405333256,0.423600705114218,0.0425873854064561,0.000769118488824934,99.5009735469152,99.8817299310903,104.58488228005,104.58488228005,673.81,469.765
"1310","LU2_54",2500,"LU2",1,60,0.368995414517183,0.00251384022885775,0.00298629887633871,0.00722449095172345,0.00213062340213797,0.0744492729141363,0.179734424039231,0.279631217911384,0.398349600838567,0.0383299812528855,0.00102925634652004,99.4679582867239,99.9030833378429,103.176297742327,103.176297742327,874.775,548.2975
"1311","LU2_54",2750,"LU2",1,60,0.355856704691378,0.00280401686594768,0.00285319533851461,0.00690166797596262,0.0021017621415613,0.0726533108673962,0.16994116284369,0.301298736351345,0.393005638819167,0.0369062809243942,0.000850625079768704,99.458054001869,99.906046715195,100.915889067953,100.915889067953,1099.4225,640.42
"1312","LU2_54",3000,"LU2",1,60,0.340470564588724,0.00308893870634801,0.0027493596642726,0.00648182845627565,0.00221162341150368,0.0680253034286172,0.161965023299357,0.322505897205817,0.387678269066561,0.0359661158498299,0.000714761351750115,99.4830658190256,99.906190577079,101.386036507732,101.262425148908,1354.4225,722.49
