array,site,red_squirrel,absent_red_squirrel,buffer_dist,harvest,roads,trails,veg_edges,wells,lc_grassland,lc_coniferous,lc_broadleaf,lc_mixed,lc_developed,lc_shrub,osm_industrial,forest_cai_mn,nonforest_cai_mn,nonveg_anthro_cai_mn,veg_anthro_cai_mn,forest_cohesion,nonforest_cohesion,nonveg_anthro_cohesion,veg_anthro_cohesion,forest_ed,nonforest_ed,nonveg_anthro_ed,veg_anthro_ed,forest_tca,nonforest_tca,nonveg_anthro_tca,veg_anthro_tca,seismic,pipe_trans
LU16,LU16_57,4,47,5000,0.24683141681848303,0.00334508185924179,0.00354340320853492,0.00410212194092345,0.0035980248768191,0,0.7450325633659848,0.00940644539554108,0.00415888729790074,0.0276351071640973,0.21052930584963905,0.03552966959721585,30.95403460960628,11.778979716896943,7.094140128796803,1.2415106596930037,99.6953404729014,99.24463613510233,99.14717587096902,99.87418543819578,57.20199262769744,23.776264265265457,18.817282122754847,59.87999568618181,3887.07,670.78,242.55,1670.915,0.00365421137447273,3.050865971361882e-6
LU16,LU16_58,11,40,5000,0.24406673220734007,0.00353569553494974,0.00286857646008783,0.00512959364477062,0.0029258183904595,0,0.725493136371818,0.00984785277236153,0.0019024555023162,0.0303250853696342,0.18681821922301295,0.01115694507709405,32.4727651922919,11.387260968276191,7.825712367983143,2.43520179927626,99.69462695339315,99.13883560161136,98.58711033001664,99.85619712584578,53.89917231383741,21.690734610439065,18.73793925296377,58.423483407784154,3895.4125,580.6475,64.1425,1664.725,0.00354140340967509,0.00221884793287279
LU16,LU16_60,18,33,5000,0.2343477811948821,0.00398490862834232,0.00219085846831523,0.00574867143699947,0.00195776182069239,0,0.8034573659553266,0.00558959563587929,0.00151251830313207,0.03495729473823491,0.10734636346451204,0.01086458836652648,32.979463692068734,10.267160000303988,8.291042650215,3.8135609009928206,99.6187621418766,97.92793898267476,99.06025679225036,99.84785107886634,57.78619749539911,13.669210078847367,18.354560247374273,62.68914540396352,4343.0475,194.105,65.95,1589.135,0.00448220989908697,0.00622379047602926
LU16,LU16_62,15,36,5000,0.18754369958895,0.00378483590784274,0.00160377960197466,0.00455129099016261,0.00111233855310608,0,0.718923454617116,0.00801934331914005,8.630141281267111e-4,0.03284331669980711,0.10731024496802906,0.00903918856146962,34.958174001337355,11.87141020338712,11.473204528565454,3.4483230172326036,99.65770273448015,98.77163489655996,99.10707950006676,99.80640404716496,51.53984242259592,12.599448189596789,16.831076221158078,53.86020739494654,4044.5225,312.72,67.0725,1251.29,0.00353518269583525,0.00667702106761465
LU16,LU16_63,9,40,5000,0,0.0015513446236977,0.00550805096814714,0,0.00483993200212582,0.00108494183195009,0.9184426593679368,0.01179560832722809,0.0165461363720578,0.0086705737831028,0.0420347023801294,7.057532573088066e-4,20.491612007290037,59.83355358692605,5.2266425146675655,0.436817528412533,99.95359224005944,99.47671627452884,99.23770433993654,96.2101492915984,41.94053885194137,6.43105228633834,4.26276714666273,33.385737799101506,6662.5199999999995,263.6875,25.765,47.13,9.512611412133152e-5,0.00981509152583979
LU16,LU16_67,13,38,5000,0,0.00134539155734516,0.00566915740241951,0,0.00524856351228544,0.00108816186151842,0.8866132682662898,0.0140223838806157,0.02280914524057808,0.00763032118702637,0.05969612603576461,4.586077772007064e-4,23.30715770959001,56.84747313168787,5.004935034737674,0.4538387920434319,99.9556443164108,99.460976386852,99.26068386267744,96.26964380338052,44.86795701278152,8.163652246610885,3.5795111479567328,34.15169212386661,6439.0275,378.77,23.67,49.745,4.649465568298952e-5,0.01008529364719619
LU16,LU16_68,6,45,5000,0.02030421966027701,0.00289041823092581,0.00302302084984383,0.00118852756551259,0.00174748331372207,0,0.862827728176317,0.01037209171349379,0.01138152121434689,0.01656195826392161,0.0414690636058822,0.00123703156131001,39.61874907718492,57.61983154832776,5.883454127587413,0.5118903440771112,99.91963833849574,99.45016148298387,99.1510033185096,98.69807024053844,40.43232499071062,4.853380569171489,10.134963173352473,34.43113391461918,6133.745,270.5825,33.365,150.7125,0.002138331810109001,0.00857129804579214
LU16,LU16_69,4,47,5000,0.04794791633545949,0.00351673986697782,0.0021401577177682,0.00220113045269667,0.00107688274060706,0,0.7693302349061388,0.00869637948186383,0.00714866265926281,0.0229189138232919,0.05749373488223828,0.00499198540378678,43.936737861504305,17.665517042046343,7.59706491757471,1.1538141116603162,99.86085600098342,99.30213455806984,99.3985815188678,99.40958900477152,41.67540206423675,6.397015150440248,12.218846125825992,38.278379596741175,5299.925,264.075,62.145,315.78249999999997,0.002972777571533012,0.00793392732176879
LU16,LU16_70,17,34,5000,0.0100046751439594,0.00172378938181417,0.00384497660831179,0,0.00252898473561663,0,0.8844841291109206,0.01214630866005589,0.01880153568545431,0.00945414711276703,0.0556029559299945,0.00105012096621605,38.923724073211545,64.99385712645504,7.13230372375788,0.3935173158910602,99.9468708478419,99.31425404984992,99.15880095907404,97.95393877407672,38.52677844286994,7.066180063523088,5.043544873361023,29.28844470233733,6445.6575,351.475,23.8125,96.715,9.668119274350746e-4,0.00928034899641226
LU16,LU16_71,9,42,5000,0.0144932255692617,0.00174087502901572,0.00385681566058598,0,0.00253391585384406,0,0.928004764838195,0.00941542988514786,0.01357203377690981,0.00976177676486288,0.03048023878172139,0.0012404135623196,42.622197727006586,58.97142951370767,7.117159094380519,0.4310640287445757,99.9334843074448,99.08045644780572,99.11118400055295,98.32980062742271,39.7657574199722,3.9021342441070326,5.0874719412815645,33.574388052712216,6662.3550000000005,193.5625,23.12,118.415,0.001624882079884539,0.00848942535304206
LU16,LU16_72,32,19,5000,0.173549612638062,0.00273532955469895,0.00201973821777522,0.00252881833236371,0.00147094615639697,6.458275123949843e-4,0.7072023146922908,0.0492700790192535,0.03899359046717059,0.01174438888882709,0.10239677587560908,0.01024270422201703,28.51020458366753,17.41938564925698,6.456517778846249,2.3848866142532734,99.75734167645956,99.25431844211676,99.23034089485311,99.79640266704584,56.768258892527456,11.643139677593192,8.60956099001044,49.9198023083956,4293.195,445.9825,61.0425,1208.8825,0.00382339230285856,0.00428632786059726
LU16,LU16_73,35,16,5000,0.214896781653644,0.00414407202458717,0.00122039143317068,0.00547446136498191,0.00106462743070449,6.458275123949852e-4,0.8587593152903272,0.00297431194081059,0.0185557588408855,0.03144873909749108,0.0868804153962513,0.01024427628998189,29.822051265089488,11.624707546342922,11.409943472902253,3.0490808412495993,99.5706231719684,98.99872659810826,99.28335054074574,99.83646736047352,60.15382031222163,8.777097977736265,16.494836177804473,64.31236416017265,4777.5175,291.3075,67.3625,1429.0475,0.00553912439616015,0.00708114692058331
LU16,LU16_74,49,2,5000,0.2242518798244,0.00421047972750333,0.00140595053341275,0.00546735573873363,0.00120748463594664,0,0.864156489616164,0.00620063922544983,0.01834362759987229,0.03293071803024151,0.07170349748464533,0.01000891113375339,32.87487289301926,9.296188660713058,10.846518734359949,3.5231663957496,99.55188993495852,97.140606294994,99.27282864256748,99.83277888340554,60.24256599240565,9.145534505400535,17.17062332664841,66.4613258543637,4872.3575,74.2075,67.985,1498.1275,0.00559270791360354,0.0072943945197973
LU16,LU16_75,1,50,5000,0.19523880340743907,0.00403688244511487,0.00168640472011266,0.0046563268099102,0.00114515536042324,0,0.7880565351993556,0.00902247759622012,9.194249073998754e-4,0.03331800926841361,0.09140898190420588,0.00986778946304167,34.89943173010049,10.391725532818358,11.29578133654956,3.0427567380606813,99.63529854170652,98.61715561690067,99.27183056332125,99.80441377484112,56.025376368304734,10.799781255756113,16.70167656201237,59.42997336957438,4437.2825,225.245,69.59,1297.155,0.00449010705956267,0.00759646709232057
