array,camera,site,date
LU3,19,LU3_19,2022-03-15
LU3,19,LU3_19,2022-03-16
LU3,19,LU3_19,2022-03-17
LU3,19,LU3_19,2022-03-18
LU3,19,LU3_19,2022-03-19
LU3,19,LU3_19,2022-03-20
LU3,19,LU3_19,2022-03-21
LU3,19,LU3_19,2022-03-22
LU3,19,LU3_19,2022-03-23
LU3,19,LU3_19,2022-03-24
LU3,19,LU3_19,2022-03-25
LU3,19,LU3_19,2022-03-26
LU3,19,LU3_19,2022-03-27
LU3,19,LU3_19,2022-03-28
LU3,19,LU3_19,2022-03-29
LU3,19,LU3_19,2022-03-30
LU3,19,LU3_19,2022-03-31
LU3,19,LU3_19,2022-04-01
LU3,19,LU3_19,2022-04-02
LU3,19,LU3_19,2022-04-03
LU3,19,LU3_19,2022-04-04
LU3,19,LU3_19,2022-04-05
LU3,19,LU3_19,2022-04-06
LU3,19,LU3_19,2022-04-07
LU3,19,LU3_19,2022-04-08
LU3,19,LU3_19,2022-04-09
LU3,19,LU3_19,2022-04-10
LU3,19,LU3_19,2022-04-11
LU3,19,LU3_19,2022-04-12
LU3,19,LU3_19,2022-04-13
LU3,19,LU3_19,2022-04-14
LU3,19,LU3_19,2022-04-15
LU3,19,LU3_19,2022-04-16
LU3,19,LU3_19,2022-04-17
LU3,19,LU3_19,2022-04-18
LU3,19,LU3_19,2022-04-19
LU3,19,LU3_19,2022-04-20
LU3,19,LU3_19,2022-04-21
LU3,19,LU3_19,2022-04-22
LU3,19,LU3_19,2022-04-23
LU3,19,LU3_19,2022-04-24
LU3,19,LU3_19,2022-04-25
LU3,19,LU3_19,2022-04-26
LU3,19,LU3_19,2022-04-27
LU3,19,LU3_19,2022-04-28
LU3,19,LU3_19,2022-04-29
LU3,19,LU3_19,2022-04-30
LU3,19,LU3_19,2022-05-01
LU3,19,LU3_19,2022-05-02
LU3,19,LU3_19,2022-05-03
LU3,19,LU3_19,2022-05-04
LU3,19,LU3_19,2022-05-05
LU3,19,LU3_19,2022-05-06
LU3,19,LU3_19,2022-05-07
LU3,19,LU3_19,2022-05-08
LU3,19,LU3_19,2022-05-09
LU3,19,LU3_19,2022-05-10
LU3,19,LU3_19,2022-05-11
LU3,19,LU3_19,2022-05-12
LU3,19,LU3_19,2022-05-13
LU3,19,LU3_19,2022-05-14
LU3,19,LU3_19,2022-05-15
LU3,19,LU3_19,2022-05-16
LU3,19,LU3_19,2022-05-17
LU3,19,LU3_19,2022-05-18
LU3,19,LU3_19,2022-05-19
LU3,19,LU3_19,2022-05-20
LU3,19,LU3_19,2022-05-21
LU3,19,LU3_19,2022-05-22
LU3,19,LU3_19,2022-05-23
LU3,19,LU3_19,2022-05-24
LU3,19,LU3_19,2022-05-25
LU3,19,LU3_19,2022-05-26
LU3,19,LU3_19,2022-05-27
LU3,19,LU3_19,2022-05-28
LU3,19,LU3_19,2022-05-29
LU3,19,LU3_19,2022-05-30
LU3,19,LU3_19,2022-05-31
LU3,19,LU3_19,2022-06-01
LU3,19,LU3_19,2022-06-02
LU3,19,LU3_19,2022-06-03
LU3,19,LU3_19,2022-06-04
LU3,19,LU3_19,2022-06-05
LU3,19,LU3_19,2022-06-06
LU3,19,LU3_19,2022-06-07
LU3,19,LU3_19,2022-06-08
LU3,19,LU3_19,2022-06-09
LU3,19,LU3_19,2022-06-10
LU3,19,LU3_19,2022-06-11
LU3,20,LU3_20,2021-07-08
LU3,20,LU3_20,2021-07-09
LU3,20,LU3_20,2021-07-10
LU3,20,LU3_20,2021-07-11
LU3,20,LU3_20,2021-07-12
LU3,20,LU3_20,2021-07-13
LU3,20,LU3_20,2021-07-14
LU3,20,LU3_20,2021-07-15
LU3,20,LU3_20,2021-07-16
LU3,20,LU3_20,2021-07-17
LU3,20,LU3_20,2021-07-18
LU3,20,LU3_20,2021-07-19
LU3,20,LU3_20,2021-07-20
LU3,20,LU3_20,2021-07-21
LU3,20,LU3_20,2021-07-22
LU3,20,LU3_20,2021-07-23
LU3,20,LU3_20,2021-07-24
LU3,20,LU3_20,2021-07-25
LU3,20,LU3_20,2021-07-26
LU3,20,LU3_20,2021-07-27
LU3,20,LU3_20,2021-07-28
LU3,20,LU3_20,2021-07-29
LU3,20,LU3_20,2021-07-30
LU3,20,LU3_20,2021-07-31
LU3,20,LU3_20,2021-08-01
LU3,20,LU3_20,2021-08-02
LU3,20,LU3_20,2021-08-03
LU3,20,LU3_20,2021-08-04
LU3,20,LU3_20,2021-08-05
LU3,20,LU3_20,2021-08-06
LU3,20,LU3_20,2021-08-07
LU3,20,LU3_20,2021-08-08
LU3,20,LU3_20,2021-08-09
LU3,20,LU3_20,2021-08-10
LU3,20,LU3_20,2021-08-11
LU3,20,LU3_20,2021-08-12
LU3,20,LU3_20,2021-08-13
LU3,20,LU3_20,2021-08-14
LU3,20,LU3_20,2021-08-15
LU3,20,LU3_20,2021-08-16
LU3,20,LU3_20,2021-08-17
LU3,20,LU3_20,2021-08-18
LU3,20,LU3_20,2021-08-19
LU3,20,LU3_20,2021-08-20
LU3,20,LU3_20,2021-08-21
LU3,20,LU3_20,2021-08-22
LU3,20,LU3_20,2021-08-23
LU3,20,LU3_20,2021-08-24
LU3,20,LU3_20,2021-08-25
LU3,20,LU3_20,2021-08-26
LU3,20,LU3_20,2021-08-27
LU3,20,LU3_20,2021-08-28
LU3,20,LU3_20,2021-08-29
LU3,20,LU3_20,2021-08-30
LU3,20,LU3_20,2021-08-31
LU3,20,LU3_20,2021-09-01
LU3,20,LU3_20,2021-09-02
LU3,20,LU3_20,2021-09-03
LU3,20,LU3_20,2021-09-04
LU3,20,LU3_20,2021-09-05
LU3,20,LU3_20,2021-09-06
LU3,20,LU3_20,2021-09-07
LU3,20,LU3_20,2021-09-08
LU3,20,LU3_20,2021-09-09
LU3,20,LU3_20,2021-09-10
LU3,20,LU3_20,2021-09-11
LU3,20,LU3_20,2021-09-12
LU3,20,LU3_20,2021-09-13
LU3,20,LU3_20,2021-09-14
LU3,20,LU3_20,2021-09-15
LU3,20,LU3_20,2021-09-16
LU3,20,LU3_20,2021-09-17
LU3,20,LU3_20,2021-09-18
LU3,20,LU3_20,2021-09-19
LU3,20,LU3_20,2021-09-20
LU3,20,LU3_20,2021-09-21
LU3,20,LU3_20,2021-09-22
LU3,20,LU3_20,2021-09-23
LU3,20,LU3_20,2021-09-24
LU3,20,LU3_20,2021-09-25
LU3,20,LU3_20,2021-09-26
LU3,20,LU3_20,2021-09-27
LU3,20,LU3_20,2021-09-28
LU3,20,LU3_20,2021-09-29
LU3,20,LU3_20,2021-09-30
LU3,20,LU3_20,2021-10-01
LU3,20,LU3_20,2021-10-02
LU3,20,LU3_20,2021-10-03
LU3,20,LU3_20,2021-10-04
LU3,20,LU3_20,2021-10-05
