array,camera,site,treatment,date
CL,1,CL_1,post,2018-10-13
CL,1,CL_1,post,2018-10-14
CL,1,CL_1,post,2018-10-15
CL,1,CL_1,post,2018-10-16
CL,1,CL_1,post,2018-10-17
CL,1,CL_1,post,2018-10-18
CL,1,CL_1,post,2018-10-19
CL,1,CL_1,post,2018-10-20
CL,1,CL_1,post,2018-10-21
CL,1,CL_1,post,2018-10-22
CL,1,CL_1,post,2018-10-23
CL,1,CL_1,post,2018-10-24
CL,1,CL_1,post,2018-10-25
CL,1,CL_1,post,2018-10-26
CL,1,CL_1,post,2018-10-27
CL,1,CL_1,post,2018-10-28
CL,1,CL_1,post,2018-10-29
CL,1,CL_1,post,2018-10-30
CL,1,CL_1,post,2018-10-31
CL,1,CL_1,post,2018-11-01
CL,1,CL_1,post,2018-11-02
CL,1,CL_1,post,2018-11-03
CL,1,CL_1,post,2018-11-04
CL,1,CL_1,post,2018-11-05
CL,1,CL_1,post,2018-11-06
CL,1,CL_1,post,2018-11-07
CL,1,CL_1,post,2018-11-08
CL,1,CL_1,post,2018-11-09
CL,1,CL_1,post,2018-11-10
CL,1,CL_1,post,2018-11-11
CL,1,CL_1,post,2018-11-12
CL,1,CL_1,post,2018-11-13
CL,1,CL_1,post,2018-11-14
CL,1,CL_1,post,2018-11-15
CL,1,CL_1,post,2018-11-16
CL,1,CL_1,post,2018-11-17
CL,1,CL_1,post,2018-11-18
CL,1,CL_1,post,2018-11-19
CL,1,CL_1,post,2018-11-20
CL,1,CL_1,post,2018-11-21
CL,1,CL_1,post,2018-11-22
CL,1,CL_1,post,2018-11-23
CL,1,CL_1,post,2018-11-24
CL,1,CL_1,post,2018-11-25
CL,1,CL_1,post,2018-11-26
CL,1,CL_1,post,2018-11-27
CL,1,CL_1,post,2018-11-28
CL,1,CL_1,post,2018-11-29
CL,1,CL_1,post,2018-11-30
CL,1,CL_1,post,2018-12-01
CL,1,CL_1,post,2018-12-02
CL,1,CL_1,post,2018-12-03
CL,1,CL_1,post,2018-12-04
CL,1,CL_1,post,2018-12-05
CL,1,CL_1,post,2018-12-06
CL,1,CL_1,post,2018-12-07
CL,1,CL_1,post,2018-12-08
CL,1,CL_1,post,2018-12-09
CL,1,CL_1,post,2018-12-10
CL,1,CL_1,post,2018-12-11
CL,1,CL_1,post,2018-12-12
CL,1,CL_1,post,2018-12-13
CL,1,CL_1,post,2018-12-14
CL,1,CL_1,post,2018-12-15
CL,1,CL_1,post,2018-12-16
CL,1,CL_1,post,2018-12-17
CL,1,CL_1,post,2018-12-18
CL,1,CL_1,post,2018-12-19
CL,1,CL_1,post,2018-12-20
CL,1,CL_1,post,2018-12-21
CL,1,CL_1,post,2018-12-22
CL,1,CL_1,post,2018-12-23
CL,1,CL_1,post,2018-12-24
CL,1,CL_1,post,2018-12-25
CL,1,CL_1,post,2018-12-26
CL,1,CL_1,post,2018-12-27
CL,1,CL_1,post,2018-12-28
CL,1,CL_1,post,2018-12-29
CL,1,CL_1,post,2018-12-30
CL,1,CL_1,post,2018-12-31
CL,1,CL_1,post,2019-01-01
