"Site","BUFF_DIST","LC_class20","LC_class32","LC_class33","LC_class34","LC_class50","LC_class110","LC_class120","LC_class210","LC_class220","LC_class230"
"LU09_41","250","0","0","0","0.173808007871175","0","0.0394713708331887","0","0.314901336170544","0.320879971853823","0.1509392690246"
"LU09_44","250","0","0","0","0.0487519312118444","0","0","0","0.951248026895901","0","0"
"LU09_51","250","0","0","0","0.148606740670494","0.281296828320196","0.00671053519304744","0","0.350386782890609","0","0.212999230703704"
"LU09_55","250","0","0","0","0.253460619129197","0","0","0","0.467529181248124","0.27901013803569","0"
"LU09_57","250","0","0","0","0.0998965081586462","0.330503161902883","0","0","0.49138441243762","0.0782159384045106","0"
"LU09_62","250","0","0","0","0.330274483684477","0","0","0","0.66972562193627","0","0"
"LU09_63","250","0","0","0","0.138552606334591","0.0329246313366759","0","0","0.738753860980549","0.0897689330029844","0"
"LU09_64","250","0","0","0","0.115608520991697","0","0.261571945855892","0","0.622819376389273","0","0"
"LU09_65","250","0","0","0","0.0559218107140996","0","0","0","0.944078197311846","0","0"
"LU09_67","250","0","0","0","0.0781985592587364","0","0.303296897004505","0","0.61850448717555","0","0"
"LU09_68","250","0","0","0","0","0","0","0","0.424205597089117","0.49837720762849","0.077417195278483"
"LU09_72","250","0","0","0","0.153069074637575","0","0","0","0.158816778482956","0.515365318737682","0.172748774728263"
"LU09_73","250","0","0","0","0.156064442302187","0.000268146965420261","0.175430737163472","0","0.163053844986353","0","0.505182846875033"
"LU09_75","250","0","0","0","0.000728449754457897","0.121319691410635","0.627958297490057","0","0.249993550089956","0","0"
"LU09_76","250","0","0","0","0.110833084846142","0","0.00229935931491953","0","0.557701210258384","0.329166356929396","0"
"LU09_77","250","0","0","0","0.112607450513413","0.57202604963091","0","0","0.139843389368787","0.142034109302926","0.0334889724094425"
"LU09_79","250","0","0","0","0.137498544758182","0","0","0","0.713341190516616","0.149160288126652","0"
"LU09_80","250","0","0","0","0.242174081455051","0","0","0","0.752460366784723","0.00536549605459643","0"
"LU09_81","250","0","0","0","0.0948110454716453","0","0.268270809067876","0","0.535560235688431","0.101357932233113","0"
"LU09_82","250","0","0","0","0","0.271214497536809","0.365658846183443","0","0.055552545912719","0","0.307574110365387"
"LU09_85","250","0","0","0","0.103716301353141","0","0","0","0.896283581099602","0","0"
"LU09_86","250","0","0","0","0.0726838754807448","0","0.49213393950627","0","0.330980892863722","0","0.104201330743864"
"LU09_87","250","0","0","0.00388471153601593","0.180647340971254","0","0","0","0.716198339341347","0.0564709189840015","0.0427987360020427"
"LU09_90","250","0","0","0","0.203750826899301","0","0.254143290956634","0","0.336227515878048","0","0.205878340673409"
"LU09_93","250","0","0","0","0.184047367132145","0","0","0","0","0.815952675538424","0"
"LU09_94","250","0","0","0","0","0","0","0","0.139976685184843","0.86002331481535","0"
"LU09_96","250","0","0","0","0.015165006955042","0.442813017265252","0","0","0.248508856981757","0","0.293513079724706"
"LU09_98","250","0","0","0","0.0376276768232213","0.121533391849951","0.265824567244338","0","0.575014388436189","0","0"
"LU09-27","250","0","0","0","0.0829019213755934","0","0.305640213644249","0","0.346037758816171","0","0.265420108252929"
"LU14_03","250","0","0","0","0","0","0","0","0.323547623905167","0.676452376095004","0"
"LU14_07","250","0","0","0","0.165569805639232","0","0","0","0.0265992713382846","0.707983894726126","0.0998470034227347"
"LU14_08","250","0","0","0","0","0","0","0","0.499049546462883","0.46900352626847","0.0319469272699853"
"LU14_09","250","0","0","0","0","0","0","0","0.383056292793692","0.616943707206115","0"
"LU14_100","250","0","0","0","0","0.459547863492881","0","0","0.540425216762149","2.69197443902411e-05","0"
"LU14_102","250","0","0","0","0","0.112298802432071","0","0","0.532935488332794","0.328997926657169","0.0257677825779682"
"LU14_105","250","0","0","0","0","0","0.293794679305155","0","0","0.243213758334392","0.462991562356408"
"LU14_110","250","0","0","0","0","0","0","0","0.999999999999858","0","0"
"LU14_114","250","0","0","0","0","0","0","0","0.674846529931217","0.000316488458319555","0.324836981608843"
"LU14_115","250","0","0","0","0","0.453668119710377","0.54633188029005","0","0","0","0"
"LU14_120","250","0","0","0","0","0","0.13484507913695","0","0.49287886744053","0","0.372276053424846"
"LU14_121","250","0.644593078831656","0","0","0","0.110517646959959","0","0","0.226893091402468","0.0179961828070439","0"
