"Site","BUFF_DIST","LC_class20","LC_class33","LC_class34","LC_class50","LC_class110","LC_class120","LC_class210","LC_class220","LC_class230","Gridcll","Lab"
"LU3-14",1750,0.016140107802864,0,0.0300980837581887,0.873788992232745,0,0,0.0168311170560762,0.0189016321581071,0.0442400671461079,"LU3-14","ACME"
"LU3-147",1750,0,0.00598719901939849,0.00903930235243443,0,0.112518552341828,0,0.572668139144565,0.161600594073173,0.138186215256933,"LU3-147","ACME"
"LU3-15",1750,0.0887131472940615,0,0.0437034209347725,0.0118177119319871,0.0108560774703713,0,0.622020628471042,0.00697604671968648,0.215912967162016,"LU3-15","ACME"
"LU3-17",1750,0.00976745022744515,0.0085818709019412,0.0491824674822191,0.0138612585908639,0.0912656251743899,0,0.542855012912228,0.091964046479961,0.192522267100379,"LU3-17","ACME"
"LU3-18",1750,0.0258106521061139,0,0.0535540447560175,0.608335118096157,0.0383046326087285,0,0.175308064302656,0.0825997254132081,0.016087777674207,"LU3-18","ACME"
"LU3-19",1750,0.00243325872699762,0,0.00273492890883354,0.333885226606525,0.0725239365368739,0,0.588422646427596,0,0,"LU3-19","ACME"
"LU3-20",1750,0.0150986824926445,0,0,0.023948165215954,0.150008900155625,0,0.758266708051948,0.028404350431493,0.0242731936522185,"LU3-20","ACME"
"LU3-21",1750,0.000982661946108366,0,0.00883295193042419,0.000854734282119455,0.00208658774292072,0,0.56934080732664,0.183438781277035,0.234463476522718,"LU3-21","ACME"
"LU3-25",1750,0.0114799907893779,0,0.0574326146683752,0.00221488094404772,0.017528178658038,0,0.689193481337532,0.0287438774515113,0.193406976481892,"LU3-25","ACME"
"LU3-27",1750,0.00961865288637455,0,0.0230220266091796,0.0197156380984382,0.150325267555281,0,0.70339271345905,0.0405171078370281,0.053408604492207,"LU3-27","ACME"
"LU3-28",1750,0,0.00846311007025757,0.0673669963161495,0.00221488094404791,0.0795561969866035,0,0.514525330104427,0.148952680745281,0.178920802106939,"LU3-28","ACME"
"LU3-32",1750,0,0.000747341792902484,0.0450244608270449,0.0386165177669136,0.100696536324587,0,0.722702264625407,0.020324697338179,0.0718881834345749,"LU3-32","ACME"
"LU3-36",1750,0.0646914995738378,0,0.00897299056635684,0.653657830910788,0.034396742388201,0,0.173946517541247,0.0228199113419962,0.041514506741406,"LU3-36","ACME"
"LU3-38",1750,0.0150382656523533,0,0.0474879007098848,0,0.0601689909844312,0,0.51770899952869,0.235541224015125,0.124054619135574,"LU3-38","ACME"
"LU3-39",1750,0,0,0,0.755393571620098,0.031316810828491,0,0.117440191724572,0.0750398704633487,0.0208095553634201,"LU3-39","ACME"
"LU3-40",1750,0.0656355971126621,0,0,0.858678778146711,0.00691562167039232,0,0.00766345435070326,0.0127491046156174,0.0483574441037056,"LU3-40","ACME"
"LU3-41",1750,0.065635597112662,0,0,0.69778876440116,0,0,0.0618490745949734,0.0295152230324912,0.145211340858474,"LU3-41","ACME"
"LU3-44",1750,0.161770782512305,0,0.0334413251237185,0.0138612585908633,0.0656236283966734,0,0.493883778986285,0.0722418186297398,0.159177407670999,"LU3-44","ACME"
"LU3-45",1750,0,0,0,0,0.00401425263947321,0,0.594371541464791,0.161852228166162,0.239761977729235,"LU3-45","ACME"
"LU3-46",1750,0.0215561789924582,0,0.042342539710559,0.0279401390267979,0.0282858671108456,0,0.481408824700299,0.252531538473218,0.145934913233534,"LU3-46","ACME"
"LU3-48",1750,0,0,0.0522731346775418,0.726309754056956,0.00893307635217031,0,0.196396270680172,0,0.0160877776742067,"LU3-48","ACME"
"LU3-50",1750,0.000747124769364317,0,0.0238509715631793,0,0.0953925570508617,0,0.617184402642693,0.0794221014805712,0.183402841547397,"LU3-50","ACME"
"LU3-51",1750,0,0.00240318443270071,0.0145982280877133,0.00525544554411293,0.25672185863549,0,0.497325460499688,0.147310697296117,0.0763851279452576,"LU3-51","ACME"
"LU3-52",1750,0,0.0485542006052674,0.109558005554462,0.00221488094404761,0.140881672341096,0,0.387891583959078,0.211304141301567,0.0995955121945502,"LU3-52","ACME"
"LU3-49",1750,0,0,0.037535320041843,0.528911062745516,0.0101865082852143,0,0.291249382015432,0.0253646816457247,0.106753045120683,"LU3-49","ACME"
"3-0-CA16B",1750,0.00243325872699794,0,0.0313997892427623,0.616769030678274,0.0180151613619674,0,0.309616993577654,0.0113023288554273,0.0104634384966155,"LU3-16","ABMI"
"3-0-CA22B",1750,0,0.00407753492450616,0.00120501545975893,0,0.10381000752583,0,0.615590724536972,0.15005197257757,0.125264744418397,"LU3-22","ABMI"
"3-2C1-CA43B",1750,0.0171142584201887,0.00833264233877288,0.037674972483294,0.0269372286899168,0.0119753375883672,0,0.535082071543151,0.0974434689514258,0.265440021004425,"LU3-43","ABMI"
"3-2B1-CA38B",1750,0.0467815137046402,0,0.0717649517595148,0,0.0383328027031922,0,0.456719524916816,0.258121235348634,0.128279969718745,"LU3-38","ABMI"
"3-0-CA33B",1750,0.0455192523106058,0,0.0386169768646444,0.835213785415132,0.0350483829500728,0,0.0165845479634676,0.0224598590756765,0.00655719388980064,"LU3-33","ABMI"
"3-0-CA34B",1750,0.241759503158683,0,0.036213173300454,0.521313907233112,0.0292367307787271,0,0.0689740246647729,0.0200293616463461,0.082473298599636,"LU3-34","ABMI"
"3-0-CA35B",1750,0.118744201649819,0,0.0345639722420284,0.487900518703522,0.0338140382266303,0,0.139886260883657,0.079234332936463,0.105856674328146,"LU3-35","ABMI"
"3-0-CA4B",1750,0.0250968839118013,0.00887098862062398,0.0614528644672482,0,0.0775692683196377,0,0.689475435973753,0.00851753187985656,0.129017025818832,"LU3-4","ABMI"
"3-0-CA8B",1750,0,0.00738324198133087,0.0304377201047418,0.0860858719022062,0.0267270759473546,0,0.5553536074134,0.151292962553165,0.14271951968218,"LU3-8","ABMI"
"3-2F2-CA4B",1750,0,0.0493245392302347,0.105277431855571,0.00221488094404771,0.130255938126818,0,0.410303598678216,0.193382264299947,0.109241345726399,"LU3-52","ABMI"
"LU2-03",2000,0.0353815146443436,0,0.0247006649125962,0.00470569632787606,0,0,0.288022370122074,0.253221786233438,0.393967967530142,"LU2-03","ACME"
"LU2-05",2000,0.195277797154241,0,0.0295220721992549,0.0245786283930725,0,0,0.262586956644043,0.250683937432914,0.237350607149077,"LU2-05","ACME"
"LU2-100",2000,0.00829901053556721,0,0.0821685614068599,0.084168345344747,0.0368954857423632,0,0.239763948011098,0.0677085317160369,0.480996123333164,"LU2-100","ACME"
"LU2-101",2000,0.314276551541818,0,0.0420177350846297,0.0153587293323367,0,0,0.255183497467502,0.159405614163539,0.213757871772549,"LU2-101","ACME"
"LU2-106",2000,0.0666488810686106,0,0.0754101363874708,0.0266122799489051,0.0652881197690874,0.116346929896938,0.226114173454458,0.131189530523486,0.292389948220043,"LU2-106","ACME"
"LU2-110",2000,0,0,0.0453337397737875,0.000116572013894393,0,0,0.278416541599374,0.200800786665165,0.475332360114196,"LU2-110","ACME"
"LU2-119",2000,0.0153755728093623,0,0.0764471235493111,0.102816583851881,0.0430861265297746,0,0.227004370873298,0.218209631292048,0.317060590325788,"LU2-119","ACME"
"LU2-123",2000,0.00755933493293913,0,0.0638224993755721,0.081812712420094,0.037226550239593,0,0.092758580550153,0.122824707518322,0.593995616198821,"LU2-123","ACME"
