array,site,array_year,lat,long,easting_12n,northing_12n,buffer_dist,cfi_site,cfi_site_with_harvest,cfi_site_with_vegedges,harvest_0_15,harvest_gt_15,harvest_total,osm_industrial,pipe_trans,railways,roads,seismic,seismic_lines,seismic_lines_3D,trails,veg_edges,wells_active,wells_inactive,wells_total,pct_betu_pap,fire_0_15,fire_gt_15,pct_lari_lar,lc_broadleaf,lc_coniferous,lc_herbs,lc_mixedwood,lc_shrubs,lc_water,lc_wetland,lc_wetland_treed,pct_pice_gla,pct_pice_mar,pct_pinu_ban,pct_popu_tre,nonanthro_cai_mn,nonanthro_ed,nonanthro_tca,landscape_cai_mn,landscape_ed,landscape_tca,nonanthro_cohesion,landscape_cohesion,landscape_contag,landscape_mesh,landscape_np,landscape_shei,landscape_siei
LU15,LU15_46,2022,56.21193,-113.0253,374388.5278243858,6231512.639791253,1250,0.047205474718461565,0.047205474718461565,0.054102108586157056,0,0,0,0,0.01869819180851105,0,0.00614094106824152,0.01158613187228718,0.01158613187228718,0,8.520378400177762e-4,0.00689663386769549,0.0082759421195733,0.00165223000983074,0.00992817212940404,0,0,0,0,0.14202165761858332,0.5630408123819701,0.02626124151845769,0.12091429742206412,3.831445629403647e-4,0,0.02382183198948027,0.1156494236432344,0.00388674608096143,0.5947062355565375,0.01191793250011139,0.3813202586643426,67.90421413838017,57.99276865266713,381.7,0,0,0,99.55871999963664,99.06202529357137,64.73452432766915,44.83619727192978,94,0.6288579285225795,0.6381403268575646
LU15,LU15_46,2022,56.21193,-113.0253,374388.5278243858,6231512.639791253,1500,0.04337684701682941,0.04337684701682941,0.04914197751601341,0,0,0,0.0014891034960231,0.01541909981224411,0,0.00513738055654014,0.01142537396657733,0.01142537396657733,0,6.067199300291443e-4,0.005765130499184,0.00815178730414429,0.0011473819512713,0.009299169255415591,0,0,0,0,0.12382566349197888,0.5931022692887487,0.02204915047752545,0.10777979920940678,2.6607261315298824e-4,0,0.02036738291691433,0.1257803771629884,0.00427385412642284,0.6370274201974995,0.0089002856525935,0.3410656102032451,68.24784603506636,54.71765282276683,562.4,0,0,0,99.61585302198068,99.13032403531166,67.11423498122527,48.39411122413264,112,0.5860268673605075,0.5914940887566148
LU15,LU15_46,2022,56.21193,-113.0253,374388.5278243858,6231512.639791253,1750,0.044816981775778975,0.044816981775778975,0.04968340606429665,0,0,0,0.00537441447718814,0.01330717891644943,0,0.00437977135234113,0.01269634193339015,0.01269634193339015,0,4.457534179805752e-4,0.00486642428851768,0.007361969418789801,0.00125155225963975,0.008613521678429551,0,0,0,0,0.11633513402083474,0.612947702923419,0.01868668547818292,0.09823939166958456,1.9548191986335384e-4,0,0.01761997407295654,0.1299633393597421,0.00419720417193001,0.6621201726181806,0.00717409374013625,0.3177798361075757,63.92499560618646,58.41095464497156,762.61,0,0,0,99.56013552648564,99.1581663831094,68.01833614875781,48.96753660567482,135,0.5671291933702053,0.5722454709942235
LU15,LU15_46,2022,56.21193,-113.0253,374388.5278243858,6231512.639791253,2000,0.03994628708943692,0.03994628708943692,0.0443065141198387,0,0,0,0.0044053280193924,0.01155849195439569,0,0.0039036094660218,0.01241338630256681,0.01241338630256681,0,3.412799606413792e-4,0.00436022703040178,0.00636597168763215,9.58219698786694e-4,0.007324191386418844,0,0,0,6.608573660292751e-6,0.12167206608124236,0.6173026965282717,0.01597554878079558,0.09231952021536864,1.4966584487716944e-4,5.618639410279007e-5,0.0158786573549451,0.13123440989593368,0.00397250474549302,0.6680967442465005,0.00623901031902829,0.3131664618880101,70.36961548285574,55.81740567938034,1013.7125,0,0,0,99.546835572572,99.2453698170704,70.40935439816221,49.95311843444804,167,0.5257815428023637,0.5651739343688507
LU15,LU15_46,2022,56.21193,-113.0253,374388.5278243858,6231512.639791253,2250,0.04241097114639152,0.04241097114639152,0.047033736854488375,0,0,0,0.007861244990734876,0.01176414861437692,0,0.004176001721298179,0.01157679934517889,0.01157679934517889,0,2.6965330223514356e-4,0.00462276570809685,0.00600601131179784,7.571118607696767e-4,0.006763123172567516,0,0,0,4.030825536273707e-4,0.1162561938577234,0.6258950296454165,0.01674232501646669,0.08394984344891068,1.221815359202078e-4,4.730419145694501e-4,0.01482237561102271,0.1345267246357123,0.00388340131255597,0.686116105600078,0.00557946015266405,0.2958543680985569,67.7957643414954,52.61894790338291,1293.395,0,0,0,99.57410840753224,99.30065499505926,72.37411422003295,56.36434533277205,211,0.48947067656937904,0.5529068482126178
LU15,LU15_46,2022,56.21193,-113.0253,374388.5278243858,6231512.639791253,2500,0.04382263838424145,0.04382263838424145,0.048276860173253375,0,0,0,0.010643976656942458,0.01056057072041609,0,0.003984588427721695,0.01171252521921558,0.01171252521921558,0,2.1841917481047143e-4,0.00445422178901193,0.006053843953791681,6.487142313434717e-4,0.006702558185135152,0,0,6.181014526287537e-8,0.00130607917892978,0.11485850986950964,0.6236592570522584,0.01777560587731351,0.0744450639772365,1.1238751703501796e-4,3.831639508236325e-4,0.01614845309686659,0.14361586312129812,0.00327591138407308,0.6982471602374093,0.00504465101875892,0.2839400663040257,65.85944109624717,52.83157948248691,1595.8775,0,0,0,99.56441418652706,99.33202859598438,72.31295321826676,61.714030776781435,256,0.4894774785608981,0.5578160276316544
LU15,LU15_46,2022,56.21193,-113.0253,374388.5278243858,6231512.639791253,2750,0.04002802754650447,0.04002802754650447,0.04400016440708931,0,0,0,0.008796674923093276,0.00978763519132389,0,0.0035806761100399005,0.01147074152840376,0.01147074152840376,0,1.8286480425529352e-4,0.00397213686058484,0.005049829173525572,0.00115960581586278,0.006209434989388352,0,0,3.057215349193507e-6,0.0021456659543837,0.11139283509244063,0.6162574230558239,0.01603828915720735,0.06667063664707817,1.0701785586489524e-4,3.166644221841838e-4,0.01917068960317865,0.1618390168128961,0.00273337284570779,0.7104246680183429,0.00432161491577686,0.2719940723514255,67.22479118951541,51.12301060764124,1952.0975,0,0,0,99.57708516847906,99.34680766516102,72.46950036453269,65.72887868876673,295,0.48652928558426817,0.5630670190541974
LU15,LU15_46,2022,56.21193,-113.0253,374388.5278243858,6231512.639791253,3000,0.03783736448425871,0.03783736448425871,0.04149273775654793,0,0,0,0.0073938485674885784,0.00879828732684182,0,0.0032912293881975944,0.01220712740632818,0.01220712740632818,0,1.5365723135340602e-4,0.00365537327228922,0.00501882356599777,9.743909980513648e-4,0.005993214564049135,0,0,8.450894695166505e-6,0.00294493664013217,0.1113817752008316,0.5954520403970806,0.0145585399311829,0.06215548498597224,1.0250258286222756e-4,2.660860769843576e-4,0.02492201120138553,0.18372070694522868,0.00229679246071705,0.712375400179908,0.00375265931389197,0.270072080043107,62.69747523437358,52.502717225754445,2322.6675,0,0,0,99.56357821106488,99.35110237147194,71.54326189983522,69.99127361231601,360,0.5028733101826338,0.5934562830956788
LU15,LU15_46,2022,56.21193,-113.0253,374388.5278243858,6231512.639791253,3250,0.0356306646965057,0.0356306646965057,0.03896382026421175,0,0,0,0.006348260000675006,0.00797076264251754,0,0.003002178431442396,0.01243300335665046,0.01243300335665046,0,1.3092687168574408e-4,0.00333315556770605,0.004915283075668293,8.302503178662622e-4,0.005745533393534555,0,0,1.3268296062215134e-05,0.00401535485489136,0.11713484554704526,0.5639563904174549,0.01385872211672744,0.05784609643218903,1.0160532343992134e-4,2.267242312835899e-4,0.03472438499927643,0.205494086980968,0.00195703026244635,0.7062662956611288,0.0033636165356467,0.2757304534396864,62.510566395743986,52.35151420298928,2734.7275,0,0,0,99.55587813983176,99.35227834398503,70.29771310349456,70.2203831580183,424,0.5267860440818196,0.6345275143137956
LU15,LU15_46,2022,56.21193,-113.0253,374388.5278243858,6231512.639791253,3500,0.033866832242192446,0.033866832242192446,0.036920086816129176,0,0,0,0.0056653477617276595,0.00743712425058691,0,0.002766923191879481,0.01273562437088584,0.01273562437088584,0,1.1289102711679018e-4,0.00305325457393673,0.004238177754020133,9.107438859756332e-4,0.0051489216399957655,0,0,1.7843002281278433e-4,0.00509249860787747,0.12294768028915765,0.5271455066786072,0.0136196092299335,0.05375343191879465,9.527237859938396e-5,2.3854315930554735e-4,0.04375186122614769,0.23243245398013893,0.0016874393589855,0.7017074276870271,0.00297382807491966,0.2799384499008936,67.01381564754892,52.76924324762754,3176.925,0,0,0,99.56594085326113,99.3594764894875,69.01977657733372,69.85573662243304,471,0.5514360748991336,0.677433705389596
LU15,LU15_46,2022,56.21193,-113.0253,374388.5278243858,6231512.639791253,3750,0.035126115024457553,0.035126115024457553,0.03829333563286767,0,0,0,0.0076349506072949345,0.00705683266398045,0,0.0028537779364000582,0.01253527371300968,0.01253527371300968,0,9.834062806618048e-5,0.00316722060841012,0.004031191390810285,9.157480848959648e-4,0.00494693947570625,0,0,0.001842370193269118,0.00660045059528407,0.12339814770314513,0.4917920679795004,0.01494414256130167,0.04907378652627543,8.587399163222925e-5,3.0206231882246904e-4,0.05816871816453407,0.25531842803524557,0.00146994717471417,0.7012044216743286,0.00265251628952558,0.27759390842622966,65.55816847741987,52.00428959637204,3656.35,0,0,0,99.57666890918613,99.3786010531688,69.37304155548027,71.14445080934556,520,0.547949187909791,0.7024971906488581
LU15,LU15_46,2022,56.21193,-113.0253,374388.5278243858,6231512.639791253,4000,0.039094443883950454,0.039094443883950454,0.04273456765009069,0,0,0,0.008836013778994742,0.00888273428458764,0,0.0032214476456668183,0.01217473655942161,0.01217473655942161,0,8.643219263629333e-5,0.00364012376614024,0.005088222707402734,8.048567152406115e-4,0.005893079422643346,0,0,0.00429361902649282,0.00809520347055556,0.12394222023209012,0.4552525640081444,0.01858622294826296,0.04406123995995811,7.548372315446588e-5,4.3133451250774703e-4,0.0743918487553001,0.27413499364441174,0.00133781055127554,0.6980781232818161,0.0024415115604934,0.2753881906689006,62.06259987629773,51.80757555354253,4142.3675,0,0,0,99.57918088049182,99.4147043899856,68.19718475519323,75.24553210338271,596,0.5711980845522132,0.7300457693703435
LU15,LU15_46,2022,56.21193,-113.0253,374388.5278243858,6231512.639791253,4250,0.039794947699820414,0.039794947699820414,0.043491263884643694,0,0,0,0.007893126556817467,0.00993857572219344,0,0.0032329541241401458,0.01217331085416532,0.01217331085416532,0,7.65627727158852e-5,0.0036963161848232802,0.005226260983860806,0.00125415668592735,0.006480417669788156,0,0,0.00519954199674857,0.01004271059232626,0.12991892555244813,0.4167521979262483,0.02302458245788792,0.03957647184655747,6.686447449187066e-5,8.590832533064925e-4,0.08865399714786747,0.2920423811669659,0.00131813013375819,0.6935650337782637,0.00220363557008764,0.2781777862329078,56.00183783673683,52.339537441006975,4662.5325,0,0,0,99.58818580910028,99.44146297582506,67.26629206016518,79.2134895442018,655,0.5899345779482218,0.7501788193788737
LU15,LU15_46,2022,56.21193,-113.0253,374388.5278243858,6231512.639791253,4500,0.03943549675299566,0.03943549675299566,0.04299826152560921,0,0,0,0.00764806016606801,0.00993724907555516,0,0.003089394772969594,0.01211297044211994,0.01211297044211994,0,6.829210282373717e-5,0.00356276477261355,0.005338235362328316,0.0012412948311309,0.006579530193459216,0,0,0.005332692524444,0.01132507630371789,0.13329428117035833,0.385942663040233,0.02536025921666992,0.03554695361936347,5.980848285980335e-5,0.0038236834788038,0.0966076120415382,0.31028139822548473,0.00126745282255559,0.6949042295905775,0.00199048657622536,0.27522180553457065,59.00306635522005,52.11162794350666,5213.3525,0,0,0,99.61912518482056,99.4663422941622,66.34539056342771,83.94783978015282,707,0.6090906743062323,0.7635772306646809
LU15,LU15_46,2022,56.21193,-113.0253,374388.5278243858,6231512.639791253,4750,0.037994377081018646,0.037994377081018646,0.0413827813938953,0,0,0,0.006871847446585975,0.00982729689099396,0,0.0029252466658285215,0.01218085201204935,0.01218085201204935,0,6.129263522130157e-5,0.00338840431287665,0.004907922085859784,0.00121991934447975,0.006127841430339533,0,0,0.0050679334622714695,0.01347774790383638,0.13198336413110473,0.3619328090835862,0.02629480869236287,0.03227215865357545,5.6926045105273795e-5,0.00984615202712761,0.10348574885589912,0.3256170163990008,0.00123672763902828,0.6982538294610272,0.00187219364584246,0.2694363487876582,59.74968681051383,52.56594446974429,5775.11,0,0,0,99.62464006558923,99.48286095895868,65.59073372807921,88.63966091602452,755,0.6248196040290682,0.7712515278345325
