"Site","BUFF_DIST","LC_class20","LC_class31","LC_class33","LC_class34","LC_class50","LC_class110","LC_class210","LC_class220","LC_class230"
"RICH25","250","0","0","0","0","0.315857633874477","0","0","0.684142366125081","0"
"RICH26","250","0","0","0","0","0.527096701567799","0","0.472903298431494","0","0"
"RICH27","250","0","0","0","0","0.388317339111478","0","0.48706849600137","0.12461416488389","0"
"RICH28","250","0","0","0","0","0.89872056506059","0","0.101279434939541","0","0"
"RICH29","250","0","0","0","0","0.76432914588597","0","0.127000167559069","0.108670686555485","0"
"RICH30","250","0","0","0","0","1.00000000000002","0","0","0","0"
"RICH31","250","0","0","0","0","0.988349227363964","0","0","0.0116507726367248","0"
"RICH32","250","0.251580520715687","0","0","0","0","0","0.748419479284221","0","0"
"RICH33","250","0","0","0","0","0.44001319737819","0","0.559986802627165","0","0"
"RICH34","250","0","0","0","0","0.933422253051735","0","0","0","0.066577746947734"
"RICH35","250","0","0","0","0","0","0","0.577713021821756","0","0.422286978178481"
"RICH36","250","0","0","0","0","0.0744485672252288","0","0.92555143277479","0","0"
"RICH37","250","0","0","0","0","0.225646326333156","0","0.774353673666704","0","0"
"RICH38","250","0","0","0","0","0.175894035195537","0","0.824105964804442","0","0"
"RICH39","250","0","0","0","0","0.350734559956278","0","0.649265440043169","0","0"
"RICH40","250","0","0","0","0","0.255048861863618","0","0.744951138136153","0","0"
"RICH41","250","0","0","0","0","0","0","1.00000000000009","0","0"
"RICH42","250","0","0","0","0","0","0","1.00000000000007","0","0"
"RICH43","250","0","0","0","0","0.982021082107922","0","0.0179789178941485","0","0"
"RICH44","250","0","0","0","0","0.306301577223969","0","0.693698422779021","0","0"
"RICH45","250","0","0","0","0","0.192243357047606","0","0.807756642957657","0","0"
"RICH46","250","0","0","0","0","0","0","0.999999999999889","0","0"
"RICH47","250","0","0","0","0","0.681149102008394","0","0.318850897990891","0","0"
"RICH48","250","0","0","0","0","0.791102747424354","0","0.208897252575685","0","0"
"RICH49","250","0","0","0","0","0","0","0.999999999999611","0","0"
"RICH50","250","0","0","0","0","0","0","1.00000000000001","0","0"
"RICH51","250","0","0","0","0","0","0","0.882171466741176","0","0.117828533258886"
"RICH52","250","0","0","0","0","0","0","0.999999999999734","0","0"
"RICH53","250","0","0","0","0","0","0","0.999999999999972","0","0"
"RICH54","250","0","0","0","0","0","0","1.00000000000018","0","0"
"RICH55","250","0","0","0","0","0","0","0.999999999999962","0","0"
"RICH56","250","0","0","0","0","0","0","1.00000000000025","0","0"
"RICH57","250","0","0","0","0","0","0","0.78129585235578","0","0.218704147644066"
