"Site","BUFF_DIST","Feature_Area","Buffer_Area","CONVENTIONAL-SEISMIC","LOW-IMPACT-SEISMIC","TRAIL","HARVEST-AREA","WELL-ABAND","RUNWAY","WELL-OTHER","CLEARING-WELLPAD-UNCONFIRMED","CLEARING-UNKNOWN","VEGETATED-EDGE-ROADS","ROAD-GRAVEL-1L","TRUCK-TRAIL","ROAD-UNIMPROVED","ROAD-WINTER","ROAD-WINTER-ACCESS","BORROWPITS","SUMP","BORROWPIT-DRY"
"RICH26","500","0","785039.34364434","0.00764389333638429","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"RICH27","500","0","785039.343644144","0.00413089152172904","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"RICH28","500","0","785039.343644137","0.00764282697043585","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"RICH29","500","0","785039.343644174","0.00765735770240735","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"RICH30","500","0","785039.343644202","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"RICH31","500","0","785039.343644083","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"RICH32","500","0","785039.343644259","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"RICH33","500","0","785039.343644077","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"RICH34","500","0","785039.343644178","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"RICH35","500","0","785039.343644298","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"RICH36","500","0","785039.34364431","0.00763812814946016","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"RICH37","500","0","785039.343644436","0.00229158273513853","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"RICH38","500","0","785039.343644241","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"RICH39","500","0","785039.343644111","0.00765943147330733","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"RICH40","500","0","785039.343644165","0.00565436368936742","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"RICH41","500","0","785039.343644154","0.00768194755444004","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"RICH42","500","0","785039.343644331","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"RICH43","500","0","785039.3436442","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"RICH44","500","0","785039.343644238","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"RICH45","500","0","785039.343644166","0.0047797714069014","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"RICH46","500","0","785039.343644308","0.00707765073017716","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"RICH47","500","0","785039.343644185","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"RICH48","500","0","785039.34364439","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"RICH49","500","0","785039.34364407","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
