buffer,site,water_area_mn,natural_area_mn,anthropogenic_area_mn,water_cohesion,natural_cohesion,anthropogenic_cohesion,water_core_mn,natural_core_mn,anthropogenic_core_mn,water_ed,natural_ed,anthropogenic_ed,water_lpi,natural_lpi,anthropogenic_lpi,water_np,natural_np,anthropogenic_np,water_pd,natural_pd,anthropogenic_pd,water_split,natural_split,anthropogenic_split,water_tca,natural_tca,anthropogenic_tca,landscape_split
1250,LU21_63,NA,492.915,NA,NA,100,NA,NA,480.575,NA,NA,0,NA,NA,100,NA,NA,1,NA,NA,0.2028747349948774,NA,NA,1,NA,NA,480.575,NA,1
1500,LU21_63,0.049,708.9575,NA,87.356560831129,99.99996750029561,NA,0,693.8675,NA,0.571063976790832,0.571063976790832,NA,0.030315741977784905,99.96545415449043,NA,5,1,NA,0.7050172552973234,0.14100345105946469,NA,10813613.243886052,1.0006912750998054,NA,0,693.8675,NA,1.000691182495889
1750,LU21_63,29.427500000000002,935.2775,NA,99.23804578464278,99.99748302569374,NA,23.845,916.9575,NA,2.109453148890075,2.109453148890075,NA,3.050414375379002,96.949585624621,NA,1,1,NA,0.10365863139508968,0.10365863139508968,NA,1074.6878084433476,1.0639178261188587,NA,23.845,916.9575,NA,1.0628656120130455
2000,LU21_63,57.365,601.1175,NA,99.47999291865158,99.96484908236803,NA,48.3525,587.95,NA,3.9099714194982536,3.9099714194982536,NA,4.554223563035885,93.4727294379168,NA,1,2,NA,0.07939028262940617,0.15878056525881235,NA,482.13794013053075,1.1440280964020797,NA,48.3525,1175.9,NA,1.141319945940437
2250,LU21_63,84.02250000000001,754.84375,NA,99.57924777656903,99.960689615213,NA,70.04,738.74625,NA,4.906789817469929,4.906789817469929,NA,5.272132320183723,89.98061127808697,NA,1,2,NA,0.06274667285767171,0.12549334571534343,NA,359.7720300017011,1.2316716710207345,NA,70.04,1477.4925,NA,1.2274694562008701
2500,LU21_63,41.21083333333333,921.6475,NA,99.63751776793845,99.9598057874726,NA,35.4325,902.63375,NA,5.0433989051452075,5.0433989051452075,NA,6.2307837985894245,86.16878354692788,NA,3,2,NA,0.15252214430882682,0.10168142953921788,NA,257.5616640667135,1.3365417251237266,NA,106.2975,1805.2675,NA,1.3296419330701925
2750,LU21_63,54.244166666666665,184.57750000000001,0.18300000000000002,99.63409683150873,99.95297431290615,94.25304407187595,46.8475,180.393125,0.0085,5.803758574569998,7.093949655231105,1.2901910806611074,6.3840293676067486,82.61656634765608,0.04938027751715965,3,12,10,0.12607730429913103,0.5043092171965241,0.4202576809971034,244.73043461913713,1.4421344507335419,3446230.5959135992,140.5425,2164.7174999999997,0.085,1.4336855053130124
3000,LU21_63,63.86833333333333,239.54954545454547,0.144765625,99.65450998356977,99.96649021141202,94.67988893466979,55.54416666666667,233.39863636363637,0.008359375,5.6317234327552965,8.65332230181905,3.0215988690637543,6.08928992426577,79.94098080993331,0.07752670388772578,3,11,32,0.10595904859370267,0.3885165115102431,1.130229851666162,267.59325210156163,1.5237377664576632,1386688.5658749286,166.6325,2567.385,0.2675,1.5151087226924256
3250,LU21_63,70.2525,282.3415909090909,0.111875,99.67251939216497,99.97050147545396,94.14519759308942,61.2575,275.08022727272726,0.005144230769230769,5.305007852164104,8.84017478684027,3.535166934676165,5.740545234409861,78.16293221704932,0.06606804105248346,3,11,52,0.09029800599428264,0.33109268864570296,1.565165437234232,301.31673592030126,1.5762925825228842,1573177.2313325477,183.7725,3025.8824999999997,0.2675,1.5680877989900028
3500,LU21_63,76.51416666666667,328.69136363636363,0.07171428571428572,99.68879618997593,99.96973958438744,92.78793447708904,66.92166666666667,319.95454545454544,0.0025476190476190477,4.954995584239791,9.80616726938603,4.851171685146239,5.437906494898677,76.86161117820009,0.05697336462758691,3,11,105,0.07786792432016434,0.28551572250726925,2.7253773512057524,336.1943913718295,1.6139170975777268,1776547.8514017744,200.76500000000001,3519.5,0.2675,1.6062049753574772
3750,LU21_63,83.17999999999999,378.54136363636366,0.06912698412698413,99.70411932234013,99.97149182142824,92.68156615777032,72.79416666666667,368.6884090909091,0.002123015873015873,4.670746833310532,9.849158960292433,5.178412126981901,5.189775236561851,75.94599300575166,0.04963587169749027,3,11,126,0.0678394601788022,0.24874468732227475,2.8492573275096924,369.47084060156743,1.6394880389895363,1965162.5040503554,218.3825,4055.5725,0.2675,1.6322437670131558
4000,LU21_63,90.135,431.8806818181818,0.06373376623376624,99.71772147923495,99.97312749588986,92.72124862690686,78.92833333333333,420.93386363636364,0.001737012987012987,4.418685893151484,9.78451700811434,5.365831114962857,4.976587226062097,75.37089481370906,0.04745664673818789,3,11,154,0.059631388571544985,0.21864842476233162,3.061077946672643,402.11696388799936,1.6545485351601195,2142738.7634233194,236.785,4630.2725,0.2675,1.6477673670885955
4250,LU21_63,96.74749999999999,488.90136363636367,0.06527272727272727,99.7287212080666,99.97447019564495,92.77178861746182,84.905,477.01068181818187,0.0016212121212121212,4.181247251351597,9.536131602313992,5.354884350962395,4.758028694678703,75.04902994447455,0.04763223337505189,3,11,165,0.05282687620153628,0.19369854607229972,2.905478191084496,440.1629291672925,1.6615639257801034,2373737.2621982135,254.715,5247.1175,0.2675,1.6553141484767666
4500,LU21_63,103.0725,549.5802272727273,0.06708092485549133,99.73775849371378,99.97575297460389,92.97811830954588,90.62750000000001,536.7950000000001,0.001546242774566474,3.9568314246870777,9.149878145614222,5.193046720927145,4.542423626006388,74.82762493510654,0.04739872498607883,3,11,173,0.04712383594307754,0.172787398457951,2.7174745393841384,483.1550422716866,1.6654334679049758,2601894.102246565,271.8825,5904.745000000001,0.2675,1.6597113871396272
4750,LU21_63,108.78916666666666,613.9429545454545,0.07157458563535911,99.74525631227723,99.97687543316704,93.11515254538477,95.72083333333333,600.3402272727274,0.0019337016574585636,3.7531572977549432,8.847835695740477,5.094678397985533,4.3189506950461,74.65191298935031,0.04677347609054104,3,11,181,0.04229703941872588,0.15508914453532824,2.551921378263128,534.6268162899974,1.667854809807856,2805311.709479006,287.16249999999997,6603.7425,0.35,1.66266686313962
