Site,BUFF_DIST,Feature_Area,Buffer_Area,CONVENTIONAL-SEISMIC,TRAIL,LOW-IMPACT-SEISMIC,PIPELINE,HARVEST-AREA,TAME_PASTURE,ROUGH_PASTURE,CULTIVATION_ABANDONED,CROP,WELL-ABAND,RURAL-RESIDENCE,URBAN-RESIDENCE,COUNTRY-RESIDENCE,RESIDENCE_CLEARING,TRANSMISSION-LINE,RECREATION,RUNWAY,GREENSPACE,TRANSFER_STATION,WELL-GAS,WELL-OIL,WELL-OTHER,WELL-CASED,WELL-BIT,WELL-CLEARED-NOT-DRILLED,CLEARING-UNKNOWN,CLEARING-WELLPAD-UNCONFIRMED,MISC-OIL-GAS-FACILITY,FACILITY-UNKNOWN,OIL-GAS-PLANT,FACILITY-OTHER,CAMP-INDUSTRIAL,URBAN-INDUSTRIAL,GRVL-SAND-PIT,OPEN-PIT-MINE,VEGETATED-EDGE-ROADS,CANAL,ROAD-PAVED-1L,ROAD-UNIMPROVED,ROAD-WINTER-ACCESS,TRUCK-TRAIL,ROAD-PAVED-UNDIV-1L,ROAD-PAVED-UNDIV-2L,ROAD-GRAVEL-1L,ROAD-UNCLASSIFIED,ROAD-GRAVEL-2L,SUMP,BORROWPIT-WET,DUGOUT,BORROWPITS,BORROWPIT-DRY,LAGOON,RESERVOIR,MINES-PITLAKE
CAM23,250,0,196259.8359,0.02842376,0,0,0.02413387,0,0,0,0,0,0,0,0,0,0,0.090996341,0,0,0,0,0,0,0,0,0,0,0.003579105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CAM24,250,0,196259.8359,0,0.007595233,0,0.027748581,0,0,0,0,0,0,0,0,0,0,0.08851462,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CAM25,250,0,196259.8359,0.011342225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CAM26,250,0,196259.8359,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.092681053,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.050514247,0,0,0,0,0,0,0,0.025257463,0,0,0,0,0,0,0,0,0,0
CAM27,250,0,196259.8359,0.012538387,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003837984,0,0,0,0,0,0,0,1.02637079712197e-05,0,0,0,0,0,0,0,0,0,0
CAM28,250,0,196259.8359,0,0.010688022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CAM29,250,0,196259.8359,0,0.010255655,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CAM30,250,0,196259.8359,0.036988568,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CAM31,250,0,196259.8359,0.009637177,0.013616139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CAM32,250,0,196259.8359,0.022968908,0.005465219,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CAM33,250,0,196259.8359,0.015303782,0,0,0,0,0,0,0,0,0.013033348,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CAM35,250,0,196259.8359,0.053533461,0.005282968,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.022534362,0,0.026436535,0,0,0,0,0,0,0,0,0,0.023656025,0,0,0,0,0,0,0,0.023088429,0,0,0,0,0,0,0,0,0,0
CAM34,250,0,196259.8359,0.023397234,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CAM36,250,0,196259.8359,0.013617372,0.010566216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.046619301,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CAM37,250,0,196259.8359,0.027430199,0.016317773,0,0,0,0,0,0,0,0.051099102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CAM38,250,0,196259.8359,0.00664234,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.014679905,0,0,0,0,0.014681557,0,0,0,0,0,0,0,0,0,0,0,0,0
CAM39,250,0,196259.8359,0.043633711,0.003716306,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.015355808,0,0,0,0,0.015360003,0,0,0,0,0,0,0,0,0,0,0,0,0
CAM40,250,0,196259.8359,0.037281173,0.004039144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CAM41,250,0,196259.8359,0.012115978,0,0,0.020584226,0.124073871,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.064889462,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.046450016,0,0,0,0,0,0,0,0.030187028,0,0,0,0,0,0,0,0,0,0
CAM42,250,0,196259.8359,0.060364239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
