array,site,buff_dist,buffer_area,harvest,pipeline,roads,seismic_lines,seismic_lines_3D,trails,transmission_lines,veg_edges,wells,lc_grassland,lc_water,lc_coniferous,lc_broadleaf,lc_mixed,lc_developed,lc_shrub,osm_industrial
LU13,LU13_59,4500,0,0.015134693999999999,0.025492094000000007,0.0030920340000000004,0.005366717,0,6.483290000000002e-4,0.010241153,0.0077308299999999976,0.003069354000000001,0.029589017,0,0.8660433280000002,0.00707232,0.0270704,0,0.07022493600000003,0.003324178
LU13,LU13_06,4500,0,8.151920000000004e-4,0.029067930000000006,0.002909535000000001,0.004677498,2.9600000000000017e-6,2.7954800000000007e-4,0.013576875000000007,0.0075110579999999975,0.0019488410000000002,0.030908933000000006,0,0.8608573350000002,0.03832332500000001,0.03487194000000001,0,0.03458486700000001,0.0031544990000000007
LU13,LU13_14,4500,0,0.009904327,0.028257058,0.0026132510000000005,0.005240033,0.003580082,4.620880000000003e-4,0.014773867999999999,0.0071069769999999996,0.0017885770000000004,0.024954056000000013,0,0.8454726720000002,0.04897215300000001,0.04076289,0,0.039378238,0.003109707000000001
LU13,LU13_52,4500,0,0.090821088,0,0.0026740780000000003,0.011754909999999999,0,0.0027732510000000013,0,0.0063808319999999995,0.015757082,0.011828061999999997,0,0.7850824959999997,0.017027768999999995,7.077710000000002e-4,0,0.185353902,0.0031932240000000006
LU13,LU13_36,4500,0,0.036529196,0,0.002684903000000001,0.011130715,0,0.0020732180000000004,0,0.006610526999999998,0.012137183999999995,0.006631543999999998,0,0.7610058100000002,0.012066936,0,0,0.22029571,0.003849663000000001
LU13,LU13_38,4500,0,0.02033588,0.005855073999999998,0.0028083910000000004,0.010170125,0,0.001457743,0,0.006642046,0.009576104000000004,0.008777221,0,0.78088941,0.010837116,0,0,0.19949625300000007,0.0026321400000000003
LU13,LU13_20,4500,0,0.037403604,0.033423686,0.005686947,0.007066055,0.035421522999999996,3.3978000000000014e-4,0.02066914,0.012745816,0.0070999620000000005,0.025175869,0.008624243,0.8252027889999998,0.04077626,0.022091601,0.011096849,0.063614886,0.022532895
LU13,LU13_17,4500,0,0.04082730900000001,0.03187989300000001,0.005414159000000001,0.007217053999999998,0.03216601700000001,8.456380000000003e-4,0.013263176,0.012208192,0.005060797,0.015615927999999998,0.007843735999999999,0.8010079849999998,0.05063347200000001,0.038196716,0.007119551,0.07772946500000003,0.022514291999999998
LU13,LU13_56,4500,0,0.037094493999999985,0.031921438999999996,0.005352842000000001,0.007697236,0.03491622100000001,9.731180000000007e-4,0.011172137999999998,0.011657139999999998,0.0078024800000000005,0.014577305000000004,0.007142290000000002,0.7817073739999998,0.057495174999999996,0.055496443999999985,0.005588848999999998,0.07624617200000006,0.021363784999999996
LU13,LU13_49,4500,0,0.021093262999999994,0.030767970000000006,0.006140802000000001,0.008480842,0.050266625,5.342040000000004e-4,0.020013399,0.013201963,0.013702276999999999,0.024210323,0.006308245,0.831172503,0.038049215,0.024910814000000007,0.017412586,0.049881335,0.0352350743
LU13,LU13_70,4500,0,0,0.02722374199999999,0.0062093849999999996,0.009969600999999998,0.061745847,6.143130000000002e-4,0.013577814000000004,0.011901812,0.016444985,0.021866158,0.003582906,0.872292767,0.017592807,0.018371433000000013,0.020427248999999995,0.029400736,0.057038407
LU13,LU13_11,4500,0,0,0.028292238999999993,0.006155186000000002,0.010429395,0.06337748899999997,6.784880000000003e-4,0.00653699,0.012190102,0.015971922,0.013842166000000003,0.008945057999999999,0.854123149,0.004591774,0.04514122900000001,0.012186571,0.05552042,0.021510727
LU15,LU15_44,4500,0,0,0.015599093999999999,0.00252602,0.008044813000000003,0,6.320000000000003e-5,0,0.002790654,0.0076947180000000006,0.051385921,0,0.8145958030000002,0.052790283,0.043805945,0.015797664,0.021624384000000007,0.00369712
LU15,LU15_11,4500,0,0,0.012402363999999999,0.0021714590000000006,0.007125246,0.0017171310000000004,1.4270600000000004e-4,0,0.0023946379999999997,0.007512669999999999,0.032135472,0,0.9075843819999997,0.016354723,0.023627091,0.01382386,0.006474473,0.004230472
LU15,LU15_19,4500,0,0,0.014016312000000003,0.002292144,0.007512173,0,8.790000000000005e-5,0,0.002527939,0.0068749530000000005,0.039463152,0,0.856686805,0.037583491,0.04330703,0.014675358,0.008284164,0.0033230850000000004
LU15,LU15_07,4500,0,0,0.011990119999999998,0.0029774299999999992,0.011261668999999997,0,1.2670000000000007e-4,0,0.0034993969999999996,0.006542318,0.073673395,0,0.61422431,0.04394310300000001,0.11763388400000002,0.021834706,0.12829430200000005,0.003619775
LU15,LU15_34,4500,0,0,0.013920765,0.00315535,0.015458984999999996,0,1.2930000000000008e-4,0,0.003818902,0.006827962000000001,0.042293994,0,0.6007242780000002,0.023105771,0.10078597000000003,0.022108898,0.20970726700000006,0.009430618000000002
