buffer,site,water_cai_mn,natural_cai_mn,anthropogenic_cai_mn,water_ed,natural_ed,anthropogenic_ed,water_tca,natural_tca,anthropogenic_tca,landscape_cai_mn,landscape_ed,landscape_tca,natural_cohesion
3500,LU22_101,46.84255797682532,51.38299921566005,0.4759266196875627,6.13594863868373,60.4575227015824,56.366890275793246,95.75,2987.6,64.1125,NA,NA,NA,99.62933003350432
3750,LU22_101,43.74505336609715,51.83134170039705,0.3597729525734119,6.000352762400955,60.41056116357321,56.21246246246247,113.285,3442.44,68.61749999999999,NA,NA,NA,99.62246080177054
4000,LU22_101,47.808228666281465,46.96895696098824,0.2583117262815284,6.26020239565294,62.559288807614806,57.883268443819425,154.645,3878.52,76.50999999999999,NA,NA,NA,99.61602653668906
4250,LU22_101,41.06163485907782,47.37878100529267,0.2207141920124773,6.429882975777663,64.47403812586916,59.44758298295328,188.9175,4337.8175,91.485,NA,NA,NA,99.61625464547063
4500,LU22_101,43.46585759629806,47.18211923822164,0.4251398655098989,6.716643563151137,65.460571527306,59.9989789947811,228.5425,4823.76,113.1925,NA,NA,NA,99.62565187651802
4750,LU22_101,43.415851608482015,47.28138167116597,0.4876451212954305,6.8851608464370155,65.9275123047489,60.55938495288878,265.2575,5348.78,135.4675,NA,NA,NA,99.64015137927169
5000,LU22_101,44.52251571987128,42.51206457820043,0.5444223135582132,7.026826519971165,67.35229762084278,61.95938005625788,294.6925,5912.205,148.4,NA,NA,NA,99.63566506997525
50,LU22_103,NA,44.642857142857146,0,NA,46.51162790697674,46.51162790697674,NA,0.375,0,NA,NA,NA,99.93255501435155
100,LU22_103,NA,30.95467695274831,1.06951871657754,NA,141.88679245283018,141.88679245283018,NA,1.605,0.005,NA,NA,NA,98.6583172997076
250,LU22_103,NA,37.02743188828889,44.044665012406945,NA,83.42672145436434,83.42672145436434,NA,11.06,1.775,NA,NA,NA,98.97759883364056
500,LU22_103,NA,28.70378209555156,17.127142491685852,NA,93.6644320649608,93.6644320649608,NA,52.3875,3.3475,NA,NA,NA,99.0385924654797
750,LU22_103,NA,35.50919733932435,30.263722086936745,NA,130.5996348827412,130.5996348827412,NA,108.7825,7.6725,NA,NA,NA,98.71726602452546
1000,LU22_103,NA,42.267505416534696,23.688783570300156,NA,114.81079883178865,114.81079883178865,NA,197.7075,22.4925,NA,NA,NA,98.85140193666844
1250,LU22_103,NA,45.316221285058646,23.16632165703679,NA,110.36567122551332,110.36567122551332,NA,322.39,26.7525,NA,NA,NA,98.91269814079683
1500,LU22_103,NA,45.22096889668779,8.640183462473239,NA,102.14475794371111,102.14475794371111,NA,458.2575,56.7025,NA,NA,NA,98.99803553864346
1750,LU22_103,NA,38.53101187975926,2.0624311738779912,NA,99.40224953167146,99.40224953167146,NA,632.5575,81.095,NA,NA,NA,99.07683711282128
2000,LU22_103,NA,39.08936498477003,1.0279047403880133,NA,104.80838117767532,104.80838117767532,NA,811.98,110.9,NA,NA,NA,99.1606711982922
2250,LU22_103,NA,45.39938898956026,0.6588327519574451,NA,103.85605403463752,103.85605403463752,NA,1014.37,152.7075,NA,NA,NA,99.2285629798637
2500,LU22_103,NA,39.918323677348226,0.5179042165330606,NA,100.67369122040924,100.67369122040924,NA,1250.1025,208.3175,NA,NA,NA,99.27284596670914
2750,LU22_103,42.02231659351308,37.327344380177216,0.5617378200386656,0.5652091694156703,98.8401655705671,98.41783455550186,4.245,1497.3,275.365,NA,NA,NA,99.27762498828793
3000,LU22_103,51.06094046446508,36.090931035600526,0.5135105987684468,1.8877803746776072,99.35305113165282,97.8325844313746,18.7675,1749.1825,341.0975,NA,NA,NA,99.25925400486994
3250,LU22_103,58.25602534688081,37.01291731646078,0.65472676636148,3.011259492013616,101.44528416598196,98.83131228310955,53.2375,2001.8075,399.965,NA,NA,NA,99.22356456146844
3500,LU22_103,60.49853422499281,35.85343321154505,0.6261049738545604,3.084727484376835,103.5064280296222,100.80064056436107,75.50750000000001,2314.0675,444.575,NA,NA,NA,99.18512876981237
3750,LU22_103,60.328077623143386,37.80803795445916,0.5704613879986422,3.1228023363355346,104.58787375828469,101.79521562260447,86.6525,2699.875,462.175,NA,NA,NA,99.1597157799432
4000,LU22_103,60.50728616822327,36.054648914393944,0.5586666404541865,3.0927568667749266,107.52398576059755,104.8347183822258,97.4275,3076.335,491.2125,NA,NA,NA,99.11667477085815
4250,LU22_103,30.551992647626253,37.50723771631272,0.6004932223625006,3.2663295568048603,109.4017906705352,106.58271055169716,109.6825,3479.5425,518.03,NA,NA,NA,99.09862619432636
4500,LU22_103,39.86202227978255,37.602043012588744,0.8445215475114027,3.336227400652402,110.595781258774,107.7040700325023,125.955,3900.59,555.66,NA,NA,NA,99.07989724548491
4750,LU22_103,29.557183047075785,39.48504494550642,0.5141533922256841,3.4033878089210634,111.64070714052332,108.6786036663961,144.2925,4358.585,575.08,NA,NA,NA,99.07172823049176
5000,LU22_103,35.33191941894547,39.704279052393574,0.6253558234056477,3.4210558127727473,111.06756410264566,108.11478001726752,160.36,4868.315,602.5,NA,NA,NA,99.07503260135726
50,LU22_107,NA,2.7960526315789473,0,NA,476.7441860465116,476.7441860465116,NA,0.0425,0,NA,NA,NA,93.53625484568123
