buffer,site,landscape_cohesion,landscape_contag,landscape_mesh,landscape_np,landscape_shei,landscape_siei
100,LU3_19,99.04929204857504,77.17792896726242,2.9449391364366515,3,0.31990907243332506,0.2189442506229975
250,LU3_19,98.83364712630205,69.92065890310973,12.023597283397537,18,0.47396794406293596,0.49787291016926466
500,LU3_19,98.83731231879086,55.70138042573873,19.081311016660287,62,0.708471732095099,0.7288972807200779
750,LU3_19,98.89792995651018,59.029870183033694,21.544225808097057,115,0.6623792815081809,0.7385243724836965
1000,LU3_19,99.14368781617262,57.840775211758846,38.93820934467081,199,0.6746717443302073,0.7804201140489712
1250,LU3_19,99.16967843224876,58.80106538180656,40.925710107280445,256,0.6616669895180418,0.7822985875058832
1500,LU3_19,99.30269297233542,64.24338282150077,47.07349876361882,332,0.573440471847561,0.7261635447076487
1750,LU3_19,99.33730195448803,67.54879309831941,49.43729152512702,429,0.5214761293299819,0.6727493281485369
2000,LU3_19,99.37864404239063,68.30502554766812,66.70032287724034,521,0.5084345415435862,0.648510397141877
2250,LU3_19,99.39842637266266,72.66801934465958,78.40101033480877,643,0.4364148923996209,0.6028400020155492
2500,LU3_19,99.43401596757789,73.12724473901662,94.64450341152627,781,0.42729994570789126,0.5896234610850054
2750,LU3_19,99.45701418091572,72.84728829973788,104.79410521955863,921,0.4329252251389893,0.5876649478543835
3000,LU3_19,99.49611039382633,72.7564975825309,136.3714920263044,1076,0.4361053947635307,0.5865388750370242
3250,LU3_19,99.53955592653882,71.93386093425174,165.22748447988585,1219,0.45326336844607107,0.601340641566586
3500,LU3_19,99.56587087465026,70.9459478390341,172.4409277733184,1383,0.4735134138167947,0.6184728544780637
3750,LU3_19,99.61321736759491,69.73882850613708,177.69274007346684,1649,0.4965882318491257,0.6378335330984253
4000,LU3_19,99.62236171168162,68.78628842589596,176.52777159938546,1957,0.5138015556947123,0.6495004439051532
4250,LU3_19,99.64641114040239,68.28237939514523,178.97867159528622,2217,0.5229138970581104,0.652299803138518
4500,LU3_19,99.65737269280113,67.9425040379619,183.09362664683243,2534,0.5291985143775371,0.655275365396089
4750,LU3_19,99.66844775358253,67.60464027618538,189.09213109840184,2811,0.5356757392656504,0.661340435890242
5000,LU3_19,99.68459622412483,67.1845683135877,200.73880653615382,3158,0.5437941549440909,0.6683758777708217
50,LU3_20,99.33629837884797,94.22652058914161,0.840224344568442,2,0.09140162014739274,0.04597079502433754
100,LU3_20,98.03445965441216,73.30270429482626,2.26114103833326,7,0.4223071631182442,0.42023013055132125
250,LU3_20,98.52288157676266,53.36492021929118,6.076638605617589,13,0.7725408905415051,0.8507358509780932
500,LU3_20,98.78738892011629,55.42989158674415,14.314361455757277,42,0.7247425636871173,0.7990768551093895
750,LU3_20,98.89490038039379,65.685012491371,16.50090371525019,79,0.5571815114002056,0.7076618036756299
1000,LU3_20,98.951204709246,63.5662701619446,19.770247492160575,108,0.5992840690080168,0.71645405342560875
1250,LU3_20,98.98034314277068,67.17859946698307,24.822467176557353,221,0.5386898146603074,0.6978991831283773
1500,LU3_20,99.17711580255057,68.27794787377489,40.58916403561792,324,0.5195862485265872,0.693041374526767
1750,LU3_20,99.28875520368817,66.40846770429852,55.99327683268333,457,0.5547944206566403,0.71962265392666
2000,LU3_20,99.3292455981206,65.22034455921703,67.06325303647442,592,0.577327603589442,0.7374307480760998
2250,LU3_20,99.40575534598945,64.85504256304233,76.33368812897474,763,0.5825135480535149,0.7403165509193261
2500,LU3_20,99.46821429909991,65.16761567744352,94.66219779826022,927,0.576822290190461,0.7326479766878241
2750,LU3_20,99.5569419311866,65.064776183877,116.42122299843331,1125,0.5795414145515676,0.7291388167050021
3000,LU3_20,99.59263351306585,64.89940447517253,160.52278638031336,1278,0.5850727042698601,0.7282233478179607
3250,LU3_20,99.6157257340949,65.19296785558436,173.92874111460637,1505,0.5796951494193927,0.718957947327494
3500,LU3_20,99.63207258426134,65.6446702376876,180.70784666066785,1761,0.5704393025802741,0.7073419436854462
3750,LU3_20,99.6547075849996,66.20611616978417,197.18884902098824,1981,0.5604309392209835,0.6946387978615449
4000,LU3_20,99.66735400160016,66.43017764681842,215.09073164260676,2281,0.5555533962338611,0.6915336508220442
4250,LU3_20,99.67133679109402,66.65669774655987,214.18018246347188,2570,0.5510050692390168,0.6864379766410473
4500,LU3_20,99.67982346472728,67.02500579519575,214.17046666485325,2800,0.5442966424410025,0.6794906191748894
4750,LU3_20,99.68623231493257,67.15330385511906,215.541482367695,3068,0.5429949595657381,0.6761334461090821
5000,LU3_20,99.69338525413428,67.31763718168918,214.04993132331367,3337,0.5407987490156088,0.6701485463029596
50,LU3_21,95.3399567854363,55.340534548174944,0.34195886650051444,4,0.5435644431995964,0.4375
100,LU3_21,96.58633163926423,67.45191492102398,1.2150861612072956,7,0.44547400106158996,0.4000378780123254
250,LU3_21,97.4956748292416,62.18253644106152,3.8412456111510176,20,0.596889735404703,0.6548488190640229
