Site,BUFF_DIST,LC_class20,LC_class33,LC_class34,LC_class50,LC_class110,LC_class120,LC_class210,LC_class220,LC_class230
CAM29,750,0.541376309,0,0.036392395,0.022633192,0.203170088,0,0.091659816,0.066904647,0.037863569
CAM30,750,0.035108948,0,0.074096448,0.140231273,0.012521344,0,0.419970144,0.20570605,0.112365802
CAM31,750,0.220582498,0,0,0.028339657,0.027403597,0,0.173345567,0.519881881,0.030446799
CAM32,750,0.112237803,0,0.039530517,0.084134191,0.029704297,0,0.061810027,0.612313336,0.060269824
CAM33,750,0,0,0,0,0.107550929,0,0.405803777,0.486645293,0
CAM35,750,0.011148274,0,0.069202461,0,0.003125329,0,0.115465694,0.801058234,0
CAM34,750,0.07869536,0,0.054509699,0.019097149,0.043179679,0,0.339028064,0.401185344,0.064304701
CAM36,750,0.148429488,0,0.111077711,0.07192482,0.006189017,0,0.359465543,0.272956638,0.029956785
CAM37,750,0.014846969,0,0.058192009,0,0,0,0.349850129,0.551343658,0.025767231
CAM38,750,0.035703901,0,0.055429882,0,0.027670255,0,0.077965191,0.803230771,0
CAM39,750,0,0,0.079760548,0.126560978,0.000962045,0,0.396547566,0.330707063,0.0654618
CAM40,750,0,0,0,0.046671935,0.040791052,0,0,0.912537012,0
CAM41,750,0.082224201,0,0.162271173,0.015069485,0.149695423,0,0.275044587,0.28737312,0.028322018
CAM42,750,0,0,0.016184691,0,0.019822536,0,0.886048418,0.066206576,0.011737783
CAM43,750,0,0,0,0.054409227,0,0,0.210201544,0.700761078,0.034628151
CAM44,750,0,0,0,0.162305285,0.096394631,0,0.285096612,0.442126098,0.014077373
CAM45,750,0,0,0.059779636,0.035973387,0,0,0.112356913,0.791890064,0
CAM46,750,0.005186515,0,0.025921251,0.044123686,0,0,0.252472002,0.218640769,0.453655766
CAM47,750,0,0,0,0.002477219,0,0,0.880915758,0.116607023,0
CAM48,750,0,0,0,0.079587305,0,0,0.257168467,0.663244228,0
CAM49,750,0.136646166,0,0,0.176673698,0,0,0.420420128,0.102024509,0.164235506
CAM50,750,0.055233469,0,0,0.036158213,0,0,0.338881853,0.510042622,0.059683843
CAM51,750,0,0,0.079996577,0.030326445,0,0,0.474345776,0.415331203,0
CAM52,750,0,0,0,0,0,0,0.221534943,0.693185191,0.085279867
CAM53,750,0,0,0,0.072028833,0,0,0.572229694,0.353878818,0.001862655
CAM54,750,0,0,0,0,0,0,0.393608437,0.606391563,0
CAM55,750,0,0,0,0,0,0,0.195082176,0.804917824,0
CAM75,750,0.031291208,0,0.025318491,0.272249155,0.064306252,0,0.269855296,0.329384965,0.007594644
CAM76,750,0,0,0,0.209095854,0.034453138,0,0.15473089,0.519300859,0.082419258
CAM77,750,0,0,0.074133162,0.56501521,0.102561991,0,0.243648483,0.006719604,0.007921539
CAM78,750,0.001711165,0,0.066479957,0,0,0,0.817354549,0.114454328,0
CAM79,750,0,0,0.030411492,0.052076891,0.066896724,0,0.310119,0.419214966,0.121280926
CAM80,750,0.007916622,0,0,0.016480269,0.292618326,0,0.589193805,0.093790978,0
CAM81,750,0,0,0,0,0.031254591,0,0.753693778,0.211473639,0.003577993
CAM82,750,0,0,0,0.072954413,0.105369925,0,0.821675662,0,0
CAM83,750,0,0,0,0.139333271,0,0,0.52565564,0.335011088,0
CAM86,750,0.008424031,0,0,0.027938317,0.129414553,0,0.770628079,0.06359502,0
CAM87,750,0,0,0.044514415,0,0.125249284,0,0.786605757,0.043630554,0
CAM88,750,0,0,1.16E-05,0.228719407,0,0,0.687277604,0.038543573,0.045447769
CAM89,750,0.022947593,0,0.03719978,0,0.059705384,0,0.554962495,0.308310758,0.016873987
CAM90,750,0,0,0.079178488,0.888824464,0.031416494,0,0,0.00058056,0
CAM91,750,0,0,0.052136449,0.037844127,0,0,0.082648649,0.812646096,0.014724676
CAM92,750,0,0,0.033473518,0.749780324,0.030527724,0,0.081411091,0.073024057,0.031783289
CAM93,750,0,0,0.016678445,0.660051165,0,0,0.253767524,0.069502866,0
CAM94,750,0,0,0.002380676,0.673911475,0,0,0.119363631,0.190919382,0.013424836
CAM95,750,0,0,0.105408693,0.630362594,0,0,0.11188351,0.152345213,0
CAM96,750,0.031032722,0,0.052969302,0,0,0,0.556218021,0.350127746,0.009652208
CAM97,750,0.08302453,0,0.07342667,0.128125433,0.149276885,0,0.407969477,0.14473446,0.013442544
CAM98,750,0.289876499,0,0.026430398,0,0,0,0.040004115,0.590054626,0.053634363
CAM99,750,0.114463669,0,0.091072041,0.273894398,0,0,0.081325468,0.368167073,0.071077348
CAM100,750,0.013116057,0,0,0.143240712,0.146334478,0,0.404462299,0.292846454,0
CAM26 B,750,0.22741443,0,0.062877787,0.052790997,0.082572061,0,0,0.565173625,0.009171103
CAM85,750,0,0,0.080402049,0,0.184134168,0,0,0.721421854,0.014041919
CAM56,1000,0,0,0.061778504,0.058797009,0.007030811,0,0.846824544,0.025569144,0
CAM57,1000,0,0,0,0.178417276,0,0,0.437993713,0.371650329,0.011938682
CAM58,1000,0,0,0,0.303232059,0,0,0.540015442,0.137389882,0.019362617
CAM59,1000,0.035442455,0,0.014300097,0.299279047,0,0,0.151641127,0.499337281,0
CAM60,1000,0.035442455,0,0,0.33952316,0,0,0.100709389,0.524325002,0
CAM61,1000,0.024633312,0,0,0.171001701,0,0,0.526008277,0.250940383,0.027416332
CAM62,1000,0.01566017,0,0,0.150452747,0,0,0.648934463,0.089529421,0.095423206
CAM63,1000,0.098496228,0,0.01487502,0.177691703,0,0,0.292350515,0.416586545,0
CAM64,1000,0,0,0.045517502,0.115586946,0,0,0.671577466,0.088646138,0.078671947
CAM65,1000,0,0,0.022439463,0.165036247,0.082608293,0,0.586978982,0.044524258,0.098412761
CAM66,1000,0.117040696,0.002521343,0,0.122778029,0,0,0.190890415,0.456685586,0.110083932
CAM67,1000,0.266980235,0.007075873,0,0.120696711,0.069585874,0,0.063045722,0.230928394,0.241687192
CAM68,1000,0.028095227,0,0,0.215827689,0.010592962,0,0.375343904,0.249318581,0.120821638
CAM69,1000,0,0,0,0.306192977,0.162984384,0,0.477209967,0.004269773,0.049342898
CAM70,1000,0.352912648,0,0,0.099767373,0.120368816,0,0.214891444,0.061096999,0.150962721
CAM71,1000,0,0,0,0.089210679,0.008081331,0,0.075541521,0.765010547,0.062155922
CAM72,1000,0.198263239,0,0,0.073521699,0,0,0.125060504,0.46338919,0.139765368
CAM73,1000,0,0,0.05246641,0.299498821,0.028897437,0,0.550259914,0,0.068877417
CAM74,1000,0,0,0.087966165,0.266906076,0.061712417,0,0.453565355,0.129849989,0
CAM1,1000,0.324144501,0,0.006777731,0.021963998,0.048936692,0,0.21569839,0.382478685,0
CAM2,1000,0.075228368,0,0.068818056,0.018629329,0.040225143,0,0.17914545,0.582394187,0.035559471
CAM3,1000,0.071492195,0,0.076273616,0.003640496,0.03116611,0,0.181439092,0.564641117,0.071347375
CAM4,1000,0.061261778,0,0.071245006,0,0,0,0.214151609,0.570348544,0.082993063
CAM5,1000,0.018085817,0,0.100841461,0,0.081667396,0,0.317357069,0.463604778,0.018443479
CAM6,1000,0.231634857,0,0.055648891,0.009761944,0.118730579,0,0.584223727,0,0
CAM7,1000,0.013542207,0,0.064440298,0.012278067,0,0,0.318004645,0.488977642,0.102757142
CAM8,1000,0.011413214,0,0.049924095,0.071028115,0.013371367,0,0.224581685,0.629602575,7.90E-05
CAM9,1000,0.235201465,0,0.076688131,0,0.013653098,0,0.429742106,0.210806374,0.033908834
CAM10,1000,0.115621124,0,0.007756937,0.015291438,0.023414567,0,0.588635136,0.215546462,0.03373434
